version,m,n,j,RT_j,gaps,steps,μs,r1,r1,r1,r2,r2,r2,r3,r3,r3,r4,r4,r4,r5,r5,r5,r6,r6,r6,r7,r7,r7
gap_enum1,7,7,6,15,2,10,3,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,6,15,1,4,2,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,5,23,3,22,3,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,5,23,1,7,2,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,4,31,4,35,4,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,4,31,1,10,2,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,3,38,5,47,4,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,3,38,1,12,3,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,2,-1,6,60,5,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,2,-1,1,13,3,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,8,7,7,7,1,1,2,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,7,7,1,1,2,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,6,15,2,10,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,6,15,1,4,2,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,5,23,3,22,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,5,23,1,7,2,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,4,31,5,53,4,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,4,31,1,14,2,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,3,37,6,80,5,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,3,37,1,17,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,2,43,7,109,5,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,2,43,1,20,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,1,-1,7,136,6,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,1,-1,0,21,3,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,9,7,7,6,1,1,2,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,7,6,1,1,2,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,6,13,2,10,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,6,13,1,4,2,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,5,18,3,22,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,5,18,1,7,2,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,4,23,4,35,4,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,4,23,1,10,2,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,3,28,6,80,5,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,3,28,1,17,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,2,34,7,109,6,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,2,34,1,20,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,1,39,9,155,9,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,1,39,1,27,3,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,10,7,7,4,1,1,2,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,7,4,1,1,2,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,6,11,2,10,3,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,6,11,1,4,2,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,5,17,3,22,3,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,5,17,1,7,15,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,4,25,5,53,4,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,4,25,1,14,2,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,3,30,6,80,5,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,3,30,1,17,2,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,2,37,7,109,5,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,2,37,1,20,3,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,1,42,9,160,7,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,1,42,1,27,3,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,11,7,7,9,1,1,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,7,9,1,1,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,6,16,2,10,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,6,16,1,4,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,5,21,3,22,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,5,21,1,7,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,4,27,4,38,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,4,27,1,10,2,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,3,31,6,80,7,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,3,31,1,17,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,2,38,7,109,5,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,2,38,1,20,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,1,44,8,131,6,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,1,44,1,22,3,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,12,7,7,8,1,1,2,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,7,8,1,1,2,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,6,16,2,10,14,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,6,16,1,4,3,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,5,21,3,22,3,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,5,21,1,7,2,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,4,28,5,53,4,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,4,28,1,14,2,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,3,34,6,80,5,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,3,34,1,17,2,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,2,-1,7,108,5,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,2,-1,1,19,3,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,13,7,7,8,1,1,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,7,8,1,1,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,6,13,2,4,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,6,13,1,3,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,5,22,3,22,3,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,5,22,1,7,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,4,30,5,53,4,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,4,30,1,14,2,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,3,38,7,91,6,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,3,38,1,21,3,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,2,-1,8,122,6,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,2,-1,1,23,3,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,14,7,7,8,1,1,2,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,7,8,1,1,2,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,6,13,2,10,3,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,6,13,1,4,2,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,5,22,4,33,4,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,5,22,1,11,2,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,4,30,6,62,5,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,4,30,1,18,3,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,3,39,7,91,5,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,3,39,1,21,3,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,2,-1,8,122,6,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,2,-1,1,23,3,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,15,7,7,4,1,1,2,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,7,4,1,1,2,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,6,13,2,7,2,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,6,13,1,4,2,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,5,17,4,33,4,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,5,17,1,11,2,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,4,26,6,62,5,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,4,26,1,18,3,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,3,32,7,78,5,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,3,32,1,20,3,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,2,40,8,124,6,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,2,40,1,24,3,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,1,-1,9,163,8,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,1,-1,0,29,3,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,16,7,7,8,1,1,2,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,7,8,1,1,2,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,6,15,2,10,2,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,6,15,1,4,2,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,5,22,3,22,3,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,5,22,1,7,2,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,4,31,6,62,4,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,4,31,1,18,3,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,3,37,7,91,5,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,3,37,1,21,3,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,2,-1,8,122,6,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,2,-1,1,23,3,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,17,7,7,5,1,1,2,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,7,5,1,1,2,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,6,12,2,10,2,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,6,12,1,4,2,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,5,19,4,33,3,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,5,19,1,11,2,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,4,25,5,53,4,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
