version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5,r6,c6,j6,r7,c7,j7
gap_enum2,3,7,3,35,1,24,10,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,2,41,7,109,25,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,2,41,1,29,10,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,3,7,1,-1,8,144,29,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum2,3,7,1,-1,1,35,11,0,5,57,0,6,53,0,8,52,0,7,50,0,4,48,0,8,46,0,8,42
gap_enum1,4,7,7,7,1,1,10,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,7,7,1,1,9,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,6,16,2,10,12,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,6,16,1,6,9,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,5,23,3,22,15,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,5,23,1,11,9,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,4,28,5,53,20,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,4,28,1,19,10,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,3,33,6,80,21,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,3,33,1,24,10,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,2,39,7,109,24,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,2,39,1,29,11,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,4,7,1,-1,8,144,28,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum2,4,7,1,-1,1,35,12,0,6,59,0,6,58,0,5,56,0,5,53,0,7,50,0,9,48,0,7,44
gap_enum1,5,7,7,6,1,1,10,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,7,6,1,1,9,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,6,15,2,10,12,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,6,15,1,6,9,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,5,20,3,22,14,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,5,20,1,11,10,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,4,29,4,38,17,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,4,29,1,16,10,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,3,33,6,80,22,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,3,33,1,24,10,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,2,40,7,109,25,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,2,40,1,29,10,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,5,7,1,-1,8,144,27,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum2,5,7,1,-1,1,35,11,0,5,55,0,7,53,0,4,52,0,9,47,0,5,46,0,9,45,0,6,42
gap_enum1,6,7,7,8,1,1,10,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,7,8,1,1,9,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,6,13,2,10,12,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,6,13,1,6,9,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,5,18,3,19,15,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,5,18,1,11,9,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,4,22,5,53,19,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,4,22,1,19,10,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,3,29,6,80,21,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,3,29,1,24,10,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,2,36,7,109,25,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,2,36,1,29,10,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,6,7,1,40,8,141,29,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum2,6,7,1,40,1,34,11,0,4,57,0,7,56,0,7,54,0,4,53,0,5,52,0,5,50,0,8,44
gap_enum1,7,7,7,8,1,1,9,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,7,8,1,1,9,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,6,15,2,10,12,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,6,15,1,6,9,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,5,23,3,22,14,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,5,23,1,11,9,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,4,31,4,35,17,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,4,31,1,16,10,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,3,38,5,47,20,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,3,38,1,19,10,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,7,7,2,-1,6,60,22,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum2,7,7,2,-1,1,23,11,0,6,54,0,6,48,0,7,48,0,8,48,0,8,45,0,7,43,0,8,40
gap_enum1,8,7,7,7,1,1,10,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,7,7,1,1,9,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,6,15,2,10,12,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,6,15,1,6,9,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,5,23,3,22,15,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,5,23,1,11,9,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,4,31,5,53,19,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,4,31,1,19,10,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,3,37,6,80,21,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,3,37,1,24,10,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,2,43,7,109,25,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,2,43,1,29,10,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,8,7,1,-1,7,136,27,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum2,8,7,1,-1,0,34,11,0,8,56,0,6,55,0,6,52,0,8,51,0,8,48,0,8,44,0,7,43
gap_enum1,9,7,7,6,1,1,10,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,7,6,1,1,9,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,6,13,2,10,12,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,6,13,1,6,9,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,5,18,3,22,15,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,5,18,1,11,9,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,4,23,4,35,16,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,4,23,1,16,10,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,3,28,6,80,21,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,3,28,1,24,10,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,2,34,7,109,24,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,2,34,1,29,10,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,9,7,1,39,9,155,39,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum2,9,7,1,39,1,35,11,0,5,59,0,6,52,0,5,48,0,5,47,0,5,44,0,7,42,0,6,41
gap_enum1,10,7,7,4,1,1,9,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,7,4,1,1,9,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,6,11,2,10,12,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,6,11,1,6,9,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,5,17,3,22,14,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,5,17,1,11,9,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,4,25,5,53,19,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,4,25,1,19,10,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,3,30,6,80,21,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,3,30,1,24,10,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,2,37,7,109,24,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,2,37,1,29,10,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,10,7,1,42,9,160,34,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum2,10,7,1,42,1,35,11,0,5,58,0,7,52,0,5,50,0,8,48,0,6,46,0,7,45,0,4,43
gap_enum1,11,7,7,9,1,1,45,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,7,9,1,1,11,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,6,16,2,10,13,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,6,16,1,6,9,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,5,21,3,22,14,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,5,21,1,11,10,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,4,27,4,38,17,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,4,27,1,16,10,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,3,31,6,80,21,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,3,31,1,24,10,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,2,38,7,109,35,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,2,38,1,29,11,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,11,7,1,44,8,131,29,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum2,11,7,1,44,1,32,11,0,6,56,0,7,56,0,4,54,0,6,51,0,5,50,0,7,49,0,9,44
gap_enum1,12,7,7,8,1,1,9,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,7,8,1,1,9,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,6,16,2,10,12,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,6,16,1,6,10,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,5,21,3,22,14,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,5,21,1,11,9,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,4,28,5,53,19,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,4,28,1,19,10,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,3,34,6,80,22,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,3,34,1,24,10,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,12,7,2,-1,7,108,24,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum2,12,7,2,-1,1,30,11,0,9,59,0,7,55,0,6,54,0,7,49,0,5,47,0,8,43,0,8,40
gap_enum1,13,7,7,8,1,1,9,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,7,8,1,1,9,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,6,13,2,4,11,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,6,13,1,4,10,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,5,22,3,22,15,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,5,22,1,11,9,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,4,30,5,53,19,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,4,30,1,19,10,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,3,38,7,91,25,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,3,38,1,25,10,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,13,7,2,-1,8,122,29,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum2,13,7,2,-1,1,31,11,0,8,58,0,8,57,0,8,54,0,8,52,0,9,41,0,5,40,0,8,40
gap_enum1,14,7,7,8,1,1,9,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,7,8,1,1,9,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,6,13,2,10,12,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,6,13,1,6,9,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,5,22,4,33,17,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,5,22,1,14,10,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,4,30,6,62,21,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,4,30,1,20,10,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,3,39,7,91,24,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,3,39,1,25,10,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,14,7,2,-1,8,122,28,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum2,14,7,2,-1,1,31,11,0,6,59,0,9,59,0,9,57,0,8,54,0,9,51,0,5,41,0,8,40
gap_enum1,15,7,7,4,1,1,9,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,7,4,1,1,9,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,6,13,2,7,12,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,6,13,1,6,10,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,5,17,4,33,17,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,5,17,1,14,10,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,4,26,6,62,21,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,4,26,1,20,11,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,3,32,7,78,23,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,3,32,1,23,10,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,2,40,8,124,27,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,2,40,1,30,11,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,15,7,1,-1,9,163,34,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum2,15,7,1,-1,0,36,11,0,4,58,0,8,56,0,6,54,0,9,54,0,4,48,0,9,44,0,4,40
gap_enum1,16,7,7,8,1,1,9,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,7,8,1,1,9,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,6,15,2,10,12,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,6,15,1,6,9,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,5,22,3,22,15,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,5,22,1,11,9,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,4,31,6,62,21,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,4,31,1,20,10,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,3,37,7,91,23,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,3,37,1,25,10,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,16,7,2,-1,8,122,27,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum2,16,7,2,-1,1,31,11,0,4,59,0,4,58,0,6,57,0,9,56,0,7,44,0,7,42,0,8,40
gap_enum1,17,7,7,5,1,1,9,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,7,5,1,1,9,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,6,12,2,10,12,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,6,12,1,6,10,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,5,19,4,33,17,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum2,17,7,5,19,1,14,10,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
gap_enum1,17,7,4,25,5,53,20,0,6,56,0,8,55,0,6,54,0,6,52,0,7,51,0,7,47,0,5,45
