version,m,n,j,RTj,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5,r6,c6,j6,r7,c7,j7
gapenum2,18,7,1,40,1,31,3,0,8,58,0,8,54,0,4,47,0,5,43,0,5,42,0,4,41,0,6,40
gapenum1,20,7,1,-1,8,139,7,0,5,57,0,5,47,0,6,47,0,6,46,0,7,42,0,8,41,0,8,41
gapenum2,20,7,1,-1,1,22,3,0,5,57,0,5,47,0,6,47,0,6,46,0,7,42,0,8,41,0,8,41
gapenum1,21,7,1,-1,8,144,6,0,9,59,0,6,57,0,8,56,0,9,49,0,4,46,0,9,45,0,7,44
gapenum2,21,7,1,-1,1,22,3,0,9,59,0,6,57,0,8,56,0,9,49,0,4,46,0,9,45,0,7,44
gapenum1,22,7,1,-1,9,158,7,0,8,58,0,4,57,0,8,51,0,7,44,0,7,44,0,5,43,0,8,40
gapenum2,22,7,1,-1,1,26,3,0,8,58,0,4,57,0,8,51,0,7,44,0,7,44,0,5,43,0,8,40
gapenum1,23,7,1,40,7,101,6,0,4,48,0,6,48,0,6,45,0,8,44,0,4,43,0,5,42,0,7,42
gapenum2,23,7,1,40,1,18,3,0,4,48,0,6,48,0,6,45,0,8,44,0,4,43,0,5,42,0,7,42
gapenum1,24,7,1,-1,8,151,7,0,5,59,0,4,56,0,7,56,0,5,49,0,9,48,0,9,44,0,7,41
gapenum2,24,7,1,-1,0,25,3,0,5,59,0,4,56,0,7,56,0,5,49,0,9,48,0,9,44,0,7,41
gapenum1,25,7,1,-1,9,158,7,0,6,58,0,8,54,0,9,52,0,9,49,0,6,48,0,6,46,0,4,43
gapenum2,25,7,1,-1,1,26,3,0,6,58,0,8,54,0,9,52,0,9,49,0,6,48,0,6,46,0,4,43
gapenum1,28,7,1,40,10,172,7,0,8,59,0,8,54,0,4,53,0,4,48,0,4,43,0,5,43,0,7,42
gapenum2,28,7,1,40,1,31,3,0,8,59,0,8,54,0,4,53,0,4,48,0,4,43,0,5,43,0,7,42
gapenum1,30,7,1,-1,8,129,6,0,7,58,0,7,58,0,9,55,0,7,54,0,7,53,0,9,53,0,4,46
gapenum2,30,7,1,-1,2,35,3,0,7,58,0,7,58,0,9,55,0,7,54,0,7,53,0,9,53,0,4,46
gapenum1,34,7,1,-1,8,136,6,0,6,58,0,7,58,0,9,54,0,6,53,0,7,52,0,4,47,0,7,40
gapenum2,34,7,1,-1,1,34,3,0,6,58,0,7,58,0,9,54,0,6,53,0,7,52,0,4,47,0,7,40
gapenum1,35,7,1,-1,9,158,7,0,9,57,0,4,53,0,6,53,0,5,47,0,9,47,0,5,46,0,5,41
gapenum2,35,7,1,-1,1,26,3,0,9,57,0,4,53,0,6,53,0,5,47,0,9,47,0,5,46,0,5,41
gapenum1,36,7,1,-1,9,158,7,0,4,59,0,5,50,0,4,48,0,8,48,0,9,48,0,4,46,0,9,42
gapenum2,36,7,1,-1,1,26,16,0,4,59,0,5,50,0,4,48,0,8,48,0,9,48,0,4,46,0,9,42
gapenum1,39,7,1,-1,7,136,6,0,9,57,0,5,55,0,7,54,0,8,53,0,8,52,0,8,50,0,5,41
gapenum2,39,7,1,-1,1,35,3,0,9,57,0,5,55,0,7,54,0,8,53,0,8,52,0,8,50,0,5,41
gapenum1,40,7,1,-1,8,144,6,0,5,58,0,5,57,0,5,53,0,9,53,0,5,51,0,9,45,0,8,42
gapenum2,40,7,1,-1,1,22,3,0,5,58,0,5,57,0,5,53,0,9,53,0,5,51,0,9,45,0,8,42
gapenum1,41,7,1,-1,8,129,6,0,6,54,0,7,54,0,7,49,0,8,48,0,6,47,0,6,46,0,6,44
gapenum2,41,7,1,-1,1,21,3,0,6,54,0,7,54,0,7,49,0,8,48,0,6,47,0,6,46,0,6,44
gapenum1,42,7,1,-1,8,144,6,0,9,55,0,5,52,0,8,49,0,8,49,0,8,48,0,8,47,0,6,44
gapenum2,42,7,1,-1,1,22,3,0,9,55,0,5,52,0,8,49,0,8,49,0,8,48,0,8,47,0,6,44
gapenum1,44,7,1,38,9,160,7,0,4,51,0,5,50,0,9,46,0,6,45,0,6,44,0,4,42,0,4,42
gapenum2,44,7,1,38,1,27,3,0,4,51,0,5,50,0,9,46,0,6,45,0,6,44,0,4,42,0,4,42
gapenum1,45,7,1,-1,9,158,6,0,9,57,0,4,56,0,4,51,0,4,50,0,7,48,0,7,44,0,8,40
gapenum2,45,7,1,-1,1,26,3,0,9,57,0,4,56,0,4,51,0,4,50,0,7,48,0,7,44,0,8,40
gapenum1,47,7,1,-1,9,158,6,0,6,55,0,8,52,0,8,50,0,5,48,0,8,45,0,4,44,0,7,41
gapenum2,47,7,1,-1,1,26,3,0,6,55,0,8,52,0,8,50,0,5,48,0,8,45,0,4,44,0,7,41
gapenum1,48,7,1,45,8,146,6,0,7,59,0,7,58,0,8,58,0,4,57,0,9,57,0,4,56,0,6,49
gapenum2,48,7,1,45,2,40,3,0,7,59,0,7,58,0,8,58,0,4,57,0,9,57,0,4,56,0,6,49
gapenum1,49,7,1,-1,8,144,6,0,5,53,0,8,46,0,5,44,0,7,44,0,9,44,0,7,43,0,5,42
gapenum2,49,7,1,-1,1,22,3,0,5,53,0,8,46,0,5,44,0,7,44,0,9,44,0,7,43,0,5,42
gapenum1,52,7,1,36,9,160,6,0,4,59,0,4,58,0,4,55,0,8,53,0,7,50,0,5,48,0,4,41
gapenum2,52,7,1,36,2,46,3,0,4,59,0,4,58,0,4,55,0,8,53,0,7,50,0,5,48,0,4,41
gapenum1,53,7,1,-1,8,129,6,0,6,57,0,8,57,0,5,54,0,9,53,0,9,52,0,8,48,0,6,47
gapenum2,53,7,1,-1,1,21,3,0,6,57,0,8,57,0,5,54,0,9,53,0,9,52,0,8,48,0,6,47
gapenum1,54,7,1,-1,9,141,6,0,4,59,0,5,59,0,8,58,0,6,55,0,8,55,0,7,47,0,5,40
gapenum2,54,7,1,-1,3,48,4,0,4,59,0,5,59,0,8,58,0,6,55,0,8,55,0,7,47,0,5,40
gapenum1,56,7,1,-1,9,158,7,0,4,59,0,6,54,0,7,53,0,6,50,0,7,49,0,8,47,0,5,42
gapenum2,56,7,1,-1,1,26,3,0,4,59,0,6,54,0,7,53,0,6,50,0,7,49,0,8,47,0,5,42
gapenum1,58,7,1,-1,9,158,6,0,8,55,0,4,51,0,8,50,0,8,50,0,9,48,0,4,42,0,4,40
gapenum2,58,7,1,-1,1,26,3,0,8,55,0,4,51,0,8,50,0,8,50,0,9,48,0,4,42,0,4,40
gapenum1,60,7,1,-1,8,151,6,0,8,59,0,8,53,0,8,53,0,8,51,0,9,48,0,4,47,0,4,41
gapenum2,60,7,1,-1,1,41,3,0,8,59,0,8,53,0,8,53,0,8,51,0,9,48,0,4,47,0,4,41
gapenum1,62,7,1,-1,9,158,6,0,7,58,0,8,54,0,4,50,0,4,47,0,4,42,0,9,41,0,8,40
gapenum2,62,7,1,-1,1,26,3,0,7,58,0,8,54,0,4,50,0,4,47,0,4,42,0,9,41,0,8,40
gapenum1,63,7,1,38,9,160,6,0,4,59,0,9,58,0,4,57,0,5,56,0,4,55,0,6,50,0,6,42
gapenum2,63,7,1,38,2,46,3,0,4,59,0,9,58,0,4,57,0,5,56,0,4,55,0,6,50,0,6,42
gapenum1,64,7,1,-1,8,129,6,0,5,58,0,9,58,0,5,55,0,4,53,0,6,52,0,9,48,0,8,44
gapenum2,64,7,1,-1,1,21,3,0,5,58,0,9,58,0,5,55,0,4,53,0,6,52,0,9,48,0,8,44
gapenum1,66,7,1,-1,9,158,6,0,7,59,0,5,52,0,4,49,0,8,49,0,7,48,0,7,45,0,6,43
gapenum2,66,7,1,-1,1,26,3,0,7,59,0,5,52,0,4,49,0,8,49,0,7,48,0,7,45,0,6,43
gapenum1,67,7,1,-1,9,158,6,0,8,59,0,4,57,0,8,50,0,9,50,0,5,46,0,8,45,0,5,42
gapenum2,67,7,1,-1,1,26,3,0,8,59,0,4,57,0,8,50,0,9,50,0,5,46,0,8,45,0,5,42
gapenum1,69,7,1,38,9,160,6,0,4,54,0,4,53,0,8,52,0,6,51,0,6,50,0,4,48,0,6,41
gapenum2,69,7,1,38,2,46,3,0,4,54,0,4,53,0,8,52,0,6,51,0,6,50,0,4,48,0,6,41
gapenum1,70,7,1,-1,7,136,5,0,8,53,0,8,52,0,4,51,0,7,50,0,6,49,0,9,47,0,6,40
gapenum2,70,7,1,-1,1,35,3,0,8,53,0,8,52,0,4,51,0,7,50,0,6,49,0,9,47,0,6,40
gapenum1,71,7,1,-1,9,158,6,0,5,57,0,6,54,0,7,53,0,4,45,0,7,44,0,9,43,0,4,40
gapenum2,71,7,1,-1,1,26,3,0,5,57,0,6,54,0,7,53,0,4,45,0,7,44,0,9,43,0,4,40
gapenum1,72,7,1,35,8,146,6,0,6,56,0,4,55,0,4,52,0,5,50,0,4,49,0,8,49,0,4,43
gapenum2,72,7,1,35,2,40,5,0,6,56,0,4,55,0,4,52,0,5,50,0,4,49,0,8,49,0,4,43
gapenum1,73,7,1,-1,8,139,6,0,8,57,0,8,55,0,7,51,0,4,47,0,8,46,0,5,43,0,9,43
gapenum2,73,7,1,-1,1,22,3,0,8,57,0,8,55,0,7,51,0,4,47,0,8,46,0,5,43,0,9,43
gapenum1,74,7,1,-1,9,158,6,0,9,58,0,5,54,0,4,49,0,7,45,0,7,43,0,9,41,0,4,40
gapenum2,74,7,1,-1,1,26,3,0,9,58,0,5,54,0,4,49,0,7,45,0,7,43,0,9,41,0,4,40
gapenum1,75,7,1,42,8,146,6,0,8,55,0,6,53,0,7,53,0,4,52,0,7,52,0,6,47,0,4,46
gapenum2,75,7,1,42,1,23,2,0,8,55,0,6,53,0,7,53,0,4,52,0,7,52,0,6,47,0,4,46
gapenum1,76,7,1,-1,7,97,5,0,9,49,0,9,49,0,7,48,0,7,47,0,4,45,0,8,45,0,5,44
gapenum2,76,7,1,-1,1,17,2,0,9,49,0,9,49,0,7,48,0,7,47,0,4,45,0,8,45,0,5,44
gapenum1,77,7,1,-1,9,158,6,0,9,59,0,6,57,0,4,49,0,5,48,0,9,45,0,5,44,0,9,44
gapenum2,77,7,1,-1,1,26,3,0,9,59,0,6,57,0,4,49,0,5,48,0,9,45,0,5,44,0,9,44
gapenum1,78,7,1,39,8,126,5,0,4,59,0,6,59,0,4,58,0,4,55,0,5,52,0,7,52,0,9,41
gapenum2,78,7,1,39,2,37,3,0,4,59,0,6,59,0,4,58,0,4,55,0,5,52,0,7,52,0,9,41
gapenum1,79,7,1,-1,8,136,6,0,5,58,0,6,58,0,9,54,0,8,53,0,9,50,0,5,47,0,7,44
gapenum2,79,7,1,-1,0,25,2,0,5,58,0,6,58,0,9,54,0,8,53,0,9,50,0,5,47,0,7,44
gapenum1,80,7,1,40,8,131,5,0,4,57,0,7,57,0,5,54,0,4,49,0,5,48,0,8,46,0,7,43
gapenum2,80,7,1,40,1,22,3,0,4,57,0,7,57,0,5,54,0,4,49,0,5,48,0,8,46,0,7,43
gapenum1,81,7,1,-1,8,136,6,0,7,58,0,8,58,0,6,57,0,6,45,0,8,41,0,4,40,0,8,40
gapenum2,81,7,1,-1,0,25,2,0,7,58,0,8,58,0,6,57,0,6,45,0,8,41,0,4,40,0,8,40
gapenum1,82,7,1,-1,9,158,6,0,8,58,0,8,47,0,6,45,0,5,44,0,8,43,0,7,42,0,5,40
gapenum2,82,7,1,-1,1,26,3,0,8,58,0,8,47,0,6,45,0,5,44,0,8,43,0,7,42,0,5,40
gapenum1,83,7,1,-1,9,158,6,0,4,58,0,7,57,0,4,53,0,5,53,0,8,51,0,7,41,0,9,41
gapenum2,83,7,1,-1,1,26,3,0,4,58,0,7,57,0,4,53,0,5,53,0,8,51,0,7,41,0,9,41
gapenum1,84,7,1,-1,8,144,6,0,8,58,0,5,57,0,6,54,0,8,51,0,9,51,0,8,48,0,5,47
gapenum2,84,7,1,-1,1,22,3,0,8,58,0,5,57,0,6,54,0,8,51,0,9,51,0,8,48,0,5,47
gapenum1,85,7,1,-1,9,158,6,0,8,57,0,4,56,0,4,53,0,6,49,0,9,47,0,6,42,0,9,40
gapenum2,85,7,1,-1,1,26,3,0,8,57,0,4,56,0,4,53,0,6,49,0,9,47,0,6,42,0,9,40
gapenum1,86,7,1,-1,8,139,5,0,6,56,0,8,55,0,5,50,0,4,49,0,7,47,0,8,45,0,7,41
gapenum2,86,7,1,-1,1,22,3,0,6,56,0,8,55,0,5,50,0,4,49,0,7,47,0,8,45,0,7,41
gapenum1,89,7,1,-1,8,144,6,0,6,53,0,9,50,0,6,45,0,6,42,0,4,41,0,6,41,0,9,41
gapenum2,89,7,1,-1,1,22,3,0,6,53,0,9,50,0,6,45,0,6,42,0,4,41,0,6,41,0,9,41
gapenum1,90,7,1,-1,8,139,6,0,8,59,0,7,58,0,7,56,0,9,55,0,5,52,0,6,51,0,7,46
gapenum2,90,7,1,-1,1,22,3,0,8,59,0,7,58,0,7,56,0,9,55,0,5,52,0,6,51,0,7,46
gapenum1,91,7,1,-1,8,139,6,0,6,59,0,4,57,0,9,55,0,6,50,0,4,45,0,9,44,0,7,43
gapenum2,91,7,1,-1,1,22,3,0,6,59,0,4,57,0,9,55,0,6,50,0,4,45,0,9,44,0,7,43
gapenum1,93,7,1,-1,9,158,6,0,8,59,0,8,50,0,4,48,0,5,48,0,4,44,0,5,42,0,9,42
gapenum2,93,7,1,-1,1,26,2,0,8,59,0,8,50,0,4,48,0,5,48,0,4,44,0,5,42,0,9,42
gapenum1,94,7,1,39,9,155,6,0,7,59,0,4,56,0,5,55,0,7,52,0,6,49,0,4,47,0,6,43
gapenum2,94,7,1,39,1,27,3,0,7,59,0,4,56,0,5,55,0,7,52,0,6,49,0,4,47,0,6,43
gapenum1,95,7,1,-1,8,151,6,0,7,58,0,5,53,0,7,50,0,8,50,0,7,46,0,7,44,0,8,42
gapenum2,95,7,1,-1,0,25,2,0,7,58,0,5,53,0,7,50,0,8,50,0,7,46,0,7,44,0,8,42
gapenum1,96,7,1,-1,9,158,6,0,5,57,0,4,51,0,8,48,0,5,45,0,7,45,0,6,44,0,7,41
gapenum2,96,7,1,-1,1,26,3,0,5,57,0,4,51,0,8,48,0,5,45,0,7,45,0,6,44,0,7,41
gapenum1,97,7,1,-1,9,158,6,0,6,58,0,8,57,0,4,55,0,9,53,0,4,51,0,8,49,0,6,40
gapenum2,97,7,1,-1,2,44,3,0,6,58,0,8,57,0,4,55,0,9,53,0,4,51,0,8,49,0,6,40
gapenum1,98,7,1,42,8,146,5,0,6,57,0,6,56,0,6,54,0,6,49,0,6,49,0,7,47,0,5,46
gapenum2,98,7,1,42,1,23,2,0,6,57,0,6,56,0,6,54,0,6,49,0,6,49,0,7,47,0,5,46
gapenum1,99,7,1,37,8,146,5,0,4,52,0,5,50,0,4,46,0,5,45,0,5,42,0,8,41,0,6,40
gapenum2,99,7,1,37,1,23,2,0,4,52,0,5,50,0,4,46,0,5,45,0,5,42,0,8,41,0,6,40
gapenum1,100,7,1,40,8,146,5,0,6,57,0,6,56,0,7,56,0,6,54,0,6,52,0,4,50,0,5,50
gapenum2,100,7,1,40,1,23,2,0,6,57,0,6,56,0,7,56,0,6,54,0,6,52,0,4,50,0,5,50
gapenum1,102,7,1,-1,9,158,6,0,7,56,0,5,45,0,8,45,0,6,43,0,9,43,0,4,42,0,6,42
gapenum2,102,7,1,-1,1,26,3,0,7,56,0,5,45,0,8,45,0,6,43,0,9,43,0,4,42,0,6,42
gapenum1,103,7,1,41,9,160,6,0,6,59,0,5,55,0,5,51,0,6,50,0,4,49,0,8,44,0,7,43
gapenum2,103,7,1,41,1,27,2,0,6,59,0,5,55,0,5,51,0,6,50,0,4,49,0,8,44,0,7,43
gapenum1,107,7,1,38,9,160,6,0,7,58,0,6,56,0,5,55,0,5,55,0,6,55,0,4,46,0,5,44
gapenum2,107,7,1,38,2,40,3,0,7,58,0,6,56,0,5,55,0,5,55,0,6,55,0,4,46,0,5,44
gapenum1,108,7,1,39,9,160,6,0,4,58,0,4,56,0,8,54,0,4,50,0,4,40,0,7,40,0,8,40
gapenum2,108,7,1,39,1,27,2,0,4,58,0,4,56,0,8,54,0,4,50,0,4,40,0,7,40,0,8,40
gapenum1,110,7,1,-1,9,141,6,0,6,58,0,8,58,0,9,56,0,5,50,0,5,46,0,6,45,0,7,41
gapenum2,110,7,1,-1,1,25,3,0,6,58,0,8,58,0,9,56,0,5,50,0,5,46,0,6,45,0,7,41
gapenum1,111,7,1,-1,9,153,6,0,5,59,0,6,58,0,6,57,0,8,53,0,6,42,0,6,41,0,7,40
gapenum2,111,7,1,-1,1,26,2,0,5,59,0,6,58,0,6,57,0,8,53,0,6,42,0,6,41,0,7,40
gapenum1,115,7,1,-1,10,170,7,0,6,59,0,4,58,0,5,57,0,8,55,0,8,46,0,6,44,0,4,40
gapenum2,115,7,1,-1,1,30,3,0,6,59,0,4,58,0,5,57,0,8,55,0,8,46,0,6,44,0,4,40
gapenum1,117,7,1,47,8,146,6,0,6,58,0,4,53,0,7,51,0,8,50,0,7,48,0,7,48,0,8,47
gapenum2,117,7,1,47,1,23,2,0,6,58,0,4,53,0,7,51,0,8,50,0,7,48,0,7,48,0,8,47
gapenum1,120,7,1,-1,10,170,7,0,5,57,0,7,53,0,9,53,0,8,52,0,4,50,0,6,42,0,4,40
gapenum2,120,7,1,-1,1,30,3,0,5,57,0,7,53,0,9,53,0,8,52,0,4,50,0,6,42,0,4,40
gapenum1,122,7,1,-1,9,158,6,0,4,58,0,9,56,0,7,53,0,5,52,0,4,48,0,7,42,0,8,42
gapenum2,122,7,1,-1,1,26,2,0,4,58,0,9,56,0,7,53,0,5,52,0,4,48,0,7,42,0,8,42
gapenum1,123,7,1,-1,7,136,5,0,6,57,0,7,54,0,7,53,0,5,47,0,7,46,0,8,44,0,9,43
gapenum2,123,7,1,-1,0,21,2,0,6,57,0,7,54,0,7,53,0,5,47,0,7,46,0,8,44,0,9,43
gapenum1,125,7,1,-1,9,158,6,0,7,58,0,7,56,0,4,55,0,8,46,0,7,44,0,6,42,0,7,42
gapenum2,125,7,1,-1,1,26,2,0,7,58,0,7,56,0,4,55,0,8,46,0,7,44,0,6,42,0,7,42
gapenum1,126,7,1,37,9,160,6,0,7,59,0,5,55,0,4,53,0,4,52,0,6,51,0,4,46,0,7,46
gapenum2,126,7,1,37,1,27,2,0,7,59,0,5,55,0,4,53,0,4,52,0,6,51,0,4,46,0,7,46
gapenum1,127,7,1,44,9,160,6,0,9,59,0,8,58,0,6,57,0,4,56,0,6,52,0,5,49,0,6,46
gapenum2,127,7,1,44,1,27,2,0,9,59,0,8,58,0,6,57,0,4,56,0,6,52,0,5,49,0,6,46
gapenum1,129,7,1,-1,8,139,5,0,4,57,0,8,56,0,5,54,0,5,51,0,4,50,0,9,44,0,8,40
gapenum2,129,7,1,-1,1,22,2,0,4,57,0,8,56,0,5,54,0,5,51,0,4,50,0,9,44,0,8,40
gapenum1,130,7,1,-1,9,158,6,0,9,55,0,8,54,0,7,53,0,4,48,0,5,46,0,6,44,0,5,40
gapenum2,130,7,1,-1,1,26,2,0,9,55,0,8,54,0,7,53,0,4,48,0,5,46,0,6,44,0,5,40
gapenum1,131,7,1,41,8,146,5,0,6,54,0,4,53,0,4,53,0,8,53,0,7,52,0,7,47,0,5,46
gapenum2,131,7,1,41,1,23,2,0,6,54,0,4,53,0,4,53,0,8,53,0,7,52,0,7,47,0,5,46
gapenum1,132,7,1,-1,9,158,5,0,6,56,0,8,55,0,8,55,0,4,51,0,6,49,0,4,43,0,8,40
gapenum2,132,7,1,-1,1,26,2,0,6,56,0,8,55,0,8,55,0,4,51,0,6,49,0,4,43,0,8,40
gapenum1,133,7,1,-1,9,136,5,0,7,58,0,8,58,0,7,53,0,4,49,0,7,46,0,4,40,0,7,40
gapenum2,133,7,1,-1,1,25,2,0,7,58,0,8,58,0,7,53,0,4,49,0,7,46,0,4,40,0,7,40
gapenum1,134,7,1,-1,8,151,5,0,7,59,0,9,57,0,6,45,0,6,44,0,7,43,0,9,43,0,5,42
gapenum2,134,7,1,-1,0,25,2,0,7,59,0,9,57,0,6,45,0,6,44,0,7,43,0,9,43,0,5,42
gapenum1,136,7,1,39,9,160,5,0,7,56,0,4,55,0,6,55,0,5,54,0,4,51,0,9,44,0,4,41
gapenum2,136,7,1,39,1,27,2,0,7,56,0,4,55,0,6,55,0,5,54,0,4,51,0,9,44,0,4,41
gapenum1,138,7,1,41,9,160,5,0,5,59,0,4,58,0,5,58,0,8,58,0,4,45,0,6,44,0,9,42
gapenum2,138,7,1,41,1,27,2,0,5,59,0,4,58,0,5,58,0,8,58,0,4,45,0,6,44,0,9,42
gapenum1,139,7,1,-1,8,151,5,0,9,58,0,8,57,0,6,49,0,4,48,0,8,47,0,8,46,0,7,41
gapenum2,139,7,1,-1,0,25,2,0,9,58,0,8,57,0,6,49,0,4,48,0,8,47,0,8,46,0,7,41
gapenum1,140,7,1,40,9,160,5,0,5,55,0,5,53,0,4,47,0,9,46,0,9,46,0,4,42,0,4,40
gapenum2,140,7,1,40,1,27,2,0,5,55,0,5,53,0,4,47,0,9,46,0,9,46,0,4,42,0,4,40
gapenum1,141,7,1,-1,8,144,5,0,8,55,0,8,53,0,7,50,0,5,47,0,5,46,0,6,43,0,9,42
gapenum2,141,7,1,-1,1,22,2,0,8,55,0,8,53,0,7,50,0,5,47,0,5,46,0,6,43,0,9,42
gapenum1,143,7,1,-1,9,158,5,0,8,57,0,6,51,0,6,49,0,8,48,0,4,46,0,5,43,0,8,41
gapenum2,143,7,1,-1,1,26,2,0,8,57,0,6,51,0,6,49,0,8,48,0,4,46,0,5,43,0,8,41
gapenum1,144,7,1,38,9,160,5,0,4,58,0,6,54,0,9,54,0,4,52,0,6,52,0,5,47,0,4,45
gapenum2,144,7,1,38,1,27,2,0,4,58,0,6,54,0,9,54,0,4,52,0,6,52,0,5,47,0,4,45
gapenum1,146,7,1,38,10,172,6,0,6,59,0,4,54,0,7,52,0,7,51,0,6,49,0,4,48,0,4,42
gapenum2,146,7,1,38,2,48,3,0,6,59,0,4,54,0,7,52,0,7,51,0,6,49,0,4,48,0,4,42
gapenum1,147,7,1,38,9,143,5,0,6,58,0,7,58,0,4,54,0,6,54,0,7,54,0,4,53,0,4,41
gapenum2,147,7,1,38,2,43,3,0,6,58,0,7,58,0,4,54,0,6,54,0,7,54,0,4,53,0,4,41
gapenum1,148,7,1,-1,9,158,5,0,4,56,0,8,49,0,7,46,0,5,45,0,5,42,0,7,42,0,5,40
gapenum2,148,7,1,-1,1,26,2,0,4,56,0,8,49,0,7,46,0,5,45,0,5,42,0,7,42,0,5,40
gapenum1,150,7,1,-1,10,170,6,0,9,58,0,5,54,0,8,54,0,5,49,0,4,43,0,4,41,0,9,40
gapenum2,150,7,1,-1,1,30,2,0,9,58,0,5,54,0,8,54,0,5,49,0,4,43,0,4,41,0,9,40
gapenum1,152,7,1,-1,10,170,6,0,5,58,0,9,55,0,7,54,0,5,50,0,5,45,0,7,45,0,4,41
gapenum2,152,7,1,-1,1,30,2,0,5,58,0,9,55,0,7,54,0,5,50,0,5,45,0,7,45,0,4,41
gapenum1,153,7,1,-1,9,136,5,0,6,57,0,8,57,0,9,50,0,7,48,0,5,42,0,6,42,0,5,41
gapenum2,153,7,1,-1,1,25,2,0,6,57,0,8,57,0,9,50,0,7,48,0,5,42,0,6,42,0,5,41
gapenum1,154,7,1,-1,7,136,5,0,5,52,0,6,49,0,6,45,0,6,44,0,8,44,0,7,43,0,9,42
gapenum2,154,7,1,-1,0,21,2,0,5,52,0,6,49,0,6,45,0,6,44,0,8,44,0,7,43,0,9,42
gapenum1,155,7,1,-1,8,144,5,0,8,52,0,6,50,0,4,45,0,6,44,0,9,44,0,9,44,0,6,42
gapenum2,155,7,1,-1,1,22,2,0,8,52,0,6,50,0,4,45,0,6,44,0,9,44,0,9,44,0,6,42
gapenum1,157,7,1,40,10,172,6,0,9,59,0,4,46,0,5,45,0,8,45,0,4,41,0,4,41,0,6,41
gapenum2,157,7,1,40,1,31,2,0,9,59,0,4,46,0,5,45,0,8,45,0,4,41,0,4,41,0,6,41
gapenum1,158,7,1,40,10,172,6,0,5,58,0,8,56,0,7,55,0,4,50,0,5,42,0,6,42,0,5,41
gapenum2,158,7,1,40,1,31,2,0,5,58,0,8,56,0,7,55,0,4,50,0,5,42,0,6,42,0,5,41
gapenum1,159,7,1,-1,10,170,6,0,8,58,0,7,57,0,7,51,0,7,48,0,5,46,0,5,45,0,5,42
gapenum2,159,7,1,-1,1,30,2,0,8,58,0,7,57,0,7,51,0,7,48,0,5,46,0,5,45,0,5,42
