version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5
gap_enum1,4,5,4,13,2,4,12,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum2,4,5,4,13,1,3,10,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum1,4,5,3,20,3,22,14,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum2,4,5,3,20,1,7,10,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum1,4,5,2,29,5,53,21,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum2,4,5,2,29,1,14,12,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum1,4,5,1,36,7,91,27,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum2,4,5,1,36,1,21,13,0,7,58,0,9,53,0,7,45,0,6,42,0,7,42
gap_enum1,5,5,5,5,1,1,9,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum2,5,5,5,5,1,1,9,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum1,5,5,4,14,2,10,12,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum2,5,5,4,14,1,4,10,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum1,5,5,3,20,4,33,16,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum2,5,5,3,20,1,11,11,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum1,5,5,2,25,6,62,21,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum2,5,5,2,25,1,18,12,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum1,5,5,1,34,7,91,23,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum2,5,5,1,34,1,21,13,0,9,59,0,5,58,0,6,50,0,9,45,0,5,43
gap_enum1,6,5,5,6,1,1,9,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum2,6,5,5,6,1,1,9,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum1,6,5,4,14,3,10,13,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum2,6,5,4,14,2,5,11,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum1,6,5,3,22,4,33,16,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum2,6,5,3,22,2,12,12,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum1,6,5,2,28,5,53,19,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum2,6,5,2,28,2,19,13,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum1,6,5,1,34,6,80,23,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum2,6,5,1,34,2,26,14,0,6,57,0,6,54,0,8,52,0,8,50,0,6,41
gap_enum1,7,5,5,4,1,1,9,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum2,7,5,5,4,1,1,9,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum1,7,5,4,12,3,10,13,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum2,7,5,4,12,2,5,11,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum1,7,5,3,19,4,33,16,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum2,7,5,3,19,2,12,12,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum1,7,5,2,26,5,48,20,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum2,7,5,2,26,2,19,13,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum1,7,5,1,34,7,91,23,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum2,7,5,1,34,2,32,15,0,8,57,0,7,56,0,7,49,0,8,48,0,4,42
gap_enum1,8,5,5,4,1,1,9,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum2,8,5,5,4,1,1,9,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum1,8,5,4,9,3,10,12,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum2,8,5,4,9,2,5,11,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum1,8,5,3,17,4,33,16,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum2,8,5,3,17,2,12,12,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum1,8,5,2,26,5,53,18,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum2,8,5,2,26,2,19,13,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum1,8,5,1,31,7,91,40,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum2,8,5,1,31,2,32,15,0,5,56,0,9,50,0,8,48,0,5,47,0,4,40
gap_enum1,9,5,5,7,1,1,9,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum2,9,5,5,7,1,1,9,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum1,9,5,4,12,2,10,12,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum2,9,5,4,12,1,4,10,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum1,9,5,3,18,3,22,14,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum2,9,5,3,18,1,7,11,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum1,9,5,2,22,4,38,17,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum2,9,5,2,22,1,10,11,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum1,9,5,1,27,5,59,19,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum2,9,5,1,27,1,13,12,0,5,51,0,4,50,0,6,49,0,5,46,0,7,45
gap_enum1,10,5,5,4,1,1,9,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum2,10,5,5,4,1,1,9,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum1,10,5,4,13,2,10,12,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum2,10,5,4,13,1,4,10,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum1,10,5,3,21,3,19,14,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum2,10,5,3,21,1,7,11,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum1,10,5,2,29,5,53,18,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum2,10,5,2,29,1,14,12,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum1,10,5,1,38,6,80,22,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum2,10,5,1,38,1,17,13,0,9,58,0,8,53,0,8,50,0,9,47,0,4,46
gap_enum1,11,5,5,4,1,1,2,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum2,11,5,5,4,1,1,2,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum1,11,5,4,10,2,10,2,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum2,11,5,4,10,1,4,2,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum1,11,5,3,18,5,33,3,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum2,11,5,3,18,2,12,3,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum1,11,5,2,25,6,45,4,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum2,11,5,2,25,2,16,3,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum1,11,5,1,34,7,91,5,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum2,11,5,1,34,2,26,3,0,9,58,0,7,56,0,8,56,0,6,45,0,4,44
gap_enum1,12,5,5,6,1,1,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum2,12,5,5,6,1,1,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum1,12,5,4,14,2,10,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum2,12,5,4,14,1,4,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum1,12,5,3,20,3,19,3,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum2,12,5,3,20,1,7,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum1,12,5,2,24,4,28,3,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum2,12,5,2,24,1,9,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum1,12,5,1,30,6,80,5,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum2,12,5,1,30,1,17,2,0,6,55,0,4,50,0,6,50,0,8,47,0,6,44
gap_enum1,13,5,5,7,1,1,2,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum2,13,5,5,7,1,1,2,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum1,13,5,4,11,3,10,3,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum2,13,5,4,11,2,5,2,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum1,13,5,3,15,4,21,3,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum2,13,5,3,15,2,9,2,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum1,13,5,2,24,5,53,4,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum2,13,5,2,24,2,19,3,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum1,13,5,1,31,7,86,5,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum2,13,5,1,31,2,31,3,0,7,57,0,9,52,0,4,49,0,4,49,0,7,41
gap_enum1,14,5,5,5,1,1,2,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum2,14,5,5,5,1,1,2,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum1,14,5,4,10,3,10,3,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum2,14,5,4,10,2,5,2,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum1,14,5,3,16,4,33,3,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum2,14,5,3,16,2,12,2,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum1,14,5,2,20,6,62,4,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum2,14,5,2,20,2,25,3,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum1,14,5,1,27,8,99,6,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum2,14,5,1,27,2,34,3,0,7,59,0,4,53,0,6,50,0,5,47,0,5,40
gap_enum1,15,5,5,8,1,1,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum2,15,5,5,8,1,1,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum1,15,5,4,12,2,10,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum2,15,5,4,12,1,4,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum1,15,5,3,19,3,22,3,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum2,15,5,3,19,1,7,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum1,15,5,2,28,4,35,3,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum2,15,5,2,28,1,10,2,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum1,15,5,1,34,6,80,5,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum2,15,5,1,34,1,17,5,0,6,52,0,9,51,0,7,46,0,4,45,0,8,43
gap_enum1,16,5,5,9,1,1,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum2,16,5,5,9,1,1,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum1,16,5,4,18,2,10,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum2,16,5,4,18,1,4,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum1,16,5,3,26,3,22,3,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum2,16,5,3,26,1,7,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum1,16,5,2,32,5,53,4,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum2,16,5,2,32,1,14,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum1,16,5,1,38,6,80,4,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum2,16,5,1,38,1,17,2,0,6,59,0,6,55,0,8,47,0,9,45,0,9,43
gap_enum1,17,5,5,8,1,1,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum2,17,5,5,8,1,1,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum1,17,5,4,16,2,4,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum2,17,5,4,16,1,3,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum1,17,5,3,25,3,22,3,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum2,17,5,3,25,1,7,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum1,17,5,2,30,4,31,3,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum2,17,5,2,30,1,9,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum1,17,5,1,38,5,59,4,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum2,17,5,1,38,1,13,2,0,8,50,0,5,46,0,9,46,0,8,44,0,8,44
gap_enum1,18,5,5,5,1,1,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum2,18,5,5,5,1,1,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum1,18,5,4,9,2,4,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum2,18,5,4,9,1,3,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum1,18,5,3,18,3,22,3,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum2,18,5,3,18,1,7,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum1,18,5,2,24,5,48,4,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum2,18,5,2,24,1,14,2,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum1,18,5,1,32,7,91,5,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum2,18,5,1,32,1,21,3,0,8,56,0,6,53,0,9,45,0,4,44,0,5,44
gap_enum1,19,5,5,8,1,1,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum2,19,5,5,8,1,1,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum1,19,5,4,14,2,10,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum2,19,5,4,14,1,4,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum1,19,5,3,19,3,22,3,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum2,19,5,3,19,1,7,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum1,19,5,2,24,5,53,4,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum2,19,5,2,24,1,14,2,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum1,19,5,1,33,7,91,5,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum2,19,5,1,33,1,21,3,0,9,55,0,5,49,0,5,47,0,6,42,0,8,40
gap_enum1,20,5,5,9,1,1,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum2,20,5,5,9,1,1,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum1,20,5,4,18,2,10,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum2,20,5,4,18,1,4,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum1,20,5,3,25,3,19,3,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum2,20,5,3,25,1,7,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum1,20,5,2,32,5,53,4,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum2,20,5,2,32,1,14,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum1,20,5,1,39,6,80,4,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum2,20,5,1,39,1,17,2,0,7,58,0,7,51,0,7,50,0,9,44,0,9,41
gap_enum1,21,5,5,7,1,1,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum2,21,5,5,7,1,1,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum1,21,5,4,14,2,10,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum2,21,5,4,14,1,4,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum1,21,5,3,21,3,22,3,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum2,21,5,3,21,1,7,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum1,21,5,2,27,5,53,4,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum2,21,5,2,27,1,14,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum1,21,5,1,31,6,80,4,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum2,21,5,1,31,1,17,2,0,4,54,0,6,53,0,7,45,0,7,42,0,7,41
gap_enum1,22,5,5,8,1,1,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum2,22,5,5,8,1,1,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum1,22,5,4,16,2,10,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum2,22,5,4,16,1,4,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum1,22,5,3,23,3,17,3,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum2,22,5,3,23,1,6,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum1,22,5,2,32,4,38,3,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum2,22,5,2,32,1,10,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum1,22,5,1,41,6,80,5,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum2,22,5,1,41,1,17,2,0,9,58,0,9,51,0,7,50,0,8,50,0,8,44
gap_enum1,23,5,5,8,1,1,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum2,23,5,5,8,1,1,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum1,23,5,4,17,2,10,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum2,23,5,4,17,1,4,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum1,23,5,3,22,3,22,3,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum2,23,5,3,22,1,7,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum1,23,5,2,31,5,53,4,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum2,23,5,2,31,1,14,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum1,23,5,1,39,6,80,5,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum2,23,5,1,39,1,17,2,0,8,57,0,9,55,0,5,45,0,9,42,0,8,41
gap_enum1,24,5,5,9,1,1,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum2,24,5,5,9,1,1,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum1,24,5,4,16,2,10,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum2,24,5,4,16,1,4,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum1,24,5,3,23,3,22,3,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum2,24,5,3,23,1,7,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum1,24,5,2,31,5,53,4,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum2,24,5,2,31,1,14,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum1,24,5,1,39,6,80,4,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum2,24,5,1,39,1,17,2,0,8,56,0,8,54,0,7,49,0,7,47,0,9,42
gap_enum1,25,5,5,8,1,1,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum2,25,5,5,8,1,1,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum1,25,5,4,17,2,10,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum2,25,5,4,17,1,4,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum1,25,5,3,25,3,17,3,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum2,25,5,3,25,1,6,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum1,25,5,2,34,4,38,3,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum2,25,5,2,34,1,10,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum1,25,5,1,42,6,80,4,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum2,25,5,1,42,1,17,2,0,8,55,0,9,45,0,8,44,0,9,44,0,8,42
gap_enum1,26,5,5,5,1,1,2,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum2,26,5,5,5,1,1,2,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum1,26,5,4,13,3,10,2,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum2,26,5,4,13,2,5,2,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum1,26,5,3,20,4,21,3,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum2,26,5,3,20,2,9,2,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum1,26,5,2,26,5,32,3,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum2,26,5,2,26,2,13,3,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum1,26,5,1,34,6,80,5,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum2,26,5,1,34,2,26,3,0,8,56,0,6,55,0,7,55,0,8,55,0,5,44
gap_enum1,27,5,5,8,1,1,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum2,27,5,5,8,1,1,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum1,27,5,4,13,2,10,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum2,27,5,4,13,1,4,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum1,27,5,3,17,3,22,3,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum2,27,5,3,17,1,7,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum1,27,5,2,23,5,53,4,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum2,27,5,2,23,1,14,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum1,27,5,1,27,6,75,4,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum2,27,5,1,27,1,17,2,0,4,59,0,6,55,0,4,52,0,5,51,0,8,46
gap_enum1,28,5,5,5,1,1,2,0,6,58,0,6,57,0,5,52,0,7,47,0,5,45
