version,m,n,j,RTj,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3,r4,c4,j4,r5,c5,j5
gapenum1,32,5,1,26,5,56,4,0,4,57,0,4,53,0,4,51,0,6,51,0,8,49
gapenum2,32,5,1,26,1,13,2,0,4,57,0,4,53,0,4,51,0,6,51,0,8,49
gapenum1,33,5,1,34,7,91,5,0,7,54,0,6,49,0,9,45,0,5,41,0,7,41
gapenum2,33,5,1,34,1,21,2,0,7,54,0,6,49,0,9,45,0,5,41,0,7,41
gapenum1,34,5,1,36,6,80,4,0,7,52,0,8,51,0,6,43,0,7,41,0,8,41
gapenum2,34,5,1,36,1,17,2,0,7,52,0,8,51,0,6,43,0,7,41,0,8,41
gapenum1,35,5,1,35,6,80,4,0,4,55,0,9,50,0,8,48,0,6,46,0,8,44
gapenum2,35,5,1,35,1,17,2,0,4,55,0,9,50,0,8,48,0,6,46,0,8,44
gapenum1,36,5,1,33,5,59,4,0,5,46,0,7,45,0,9,44,0,4,41,0,8,41
gapenum2,36,5,1,33,1,13,2,0,5,46,0,7,45,0,9,44,0,4,41,0,8,41
gapenum1,37,5,1,28,8,99,5,0,6,59,0,9,53,0,5,49,0,4,44,0,4,41
gapenum2,37,5,1,28,1,25,3,0,6,59,0,9,53,0,5,49,0,4,44,0,4,41
gapenum1,38,5,1,39,6,80,4,0,7,57,0,9,51,0,5,43,0,9,41,0,9,41
gapenum2,38,5,1,39,1,17,2,0,7,57,0,9,51,0,5,43,0,9,41,0,9,41
gapenum1,39,5,1,39,6,80,4,0,7,57,0,9,51,0,7,50,0,9,49,0,7,42
gapenum2,39,5,1,39,1,17,2,0,7,57,0,9,51,0,7,50,0,9,49,0,7,42
gapenum1,40,5,1,28,6,80,4,0,6,55,0,5,52,0,4,46,0,8,45,0,5,44
gapenum2,40,5,1,28,1,17,2,0,6,55,0,5,52,0,4,46,0,8,45,0,5,44
gapenum1,41,5,1,35,6,80,4,0,9,54,0,8,52,0,4,51,0,8,50,0,6,46
gapenum2,41,5,1,35,1,17,2,0,9,54,0,8,52,0,4,51,0,8,50,0,6,46
gapenum1,42,5,1,37,5,59,4,0,6,59,0,8,54,0,9,54,0,5,52,0,9,51
gapenum2,42,5,1,37,1,13,2,0,6,59,0,8,54,0,9,54,0,5,52,0,9,51
gapenum1,43,5,1,31,6,80,4,0,8,59,0,6,57,0,5,55,0,8,52,0,4,42
gapenum2,43,5,1,31,2,26,3,0,8,59,0,6,57,0,5,55,0,8,52,0,4,42
gapenum1,44,5,1,31,6,80,4,0,6,51,0,6,46,0,6,44,0,9,42,0,4,40
gapenum2,44,5,1,31,1,17,2,0,6,51,0,6,46,0,6,44,0,9,42,0,4,40
gapenum1,45,5,1,31,6,69,4,0,4,57,0,8,57,0,8,56,0,6,49,0,5,48
gapenum2,45,5,1,31,1,16,2,0,4,57,0,8,57,0,8,56,0,6,49,0,5,48
gapenum1,46,5,1,38,6,64,4,0,7,58,0,8,58,0,9,50,0,8,49,0,6,44
gapenum2,46,5,1,38,1,16,2,0,7,58,0,8,58,0,9,50,0,8,49,0,6,44
gapenum1,47,5,1,33,6,69,4,0,5,53,0,7,53,0,8,49,0,4,44,0,9,42
gapenum2,47,5,1,33,1,16,2,0,5,53,0,7,53,0,8,49,0,4,44,0,9,42
gapenum1,48,5,1,33,6,69,4,0,8,56,0,9,56,0,4,50,0,7,47,0,5,45
gapenum2,48,5,1,33,1,16,2,0,8,56,0,9,56,0,4,50,0,7,47,0,5,45
gapenum1,49,5,1,31,6,80,4,0,4,53,0,6,52,0,5,51,0,9,51,0,7,45
gapenum2,49,5,1,31,1,17,2,0,4,53,0,6,52,0,5,51,0,9,51,0,7,45
gapenum1,50,5,1,33,6,80,4,0,5,56,0,9,52,0,7,48,0,8,48,0,4,45
gapenum2,50,5,1,33,1,17,2,0,5,56,0,9,52,0,7,48,0,8,48,0,4,45
gapenum1,51,5,1,33,6,75,4,0,5,58,0,6,56,0,8,55,0,6,47,0,8,44
gapenum2,51,5,1,33,1,17,2,0,5,58,0,6,56,0,8,55,0,6,47,0,8,44
gapenum1,52,5,1,36,7,91,5,0,7,59,0,8,57,0,9,57,0,8,43,0,4,41
gapenum2,52,5,1,36,2,26,3,0,7,59,0,8,57,0,9,57,0,8,43,0,4,41
gapenum1,53,5,1,34,7,86,5,0,9,57,0,8,50,0,7,45,0,4,40,0,6,40
gapenum2,53,5,1,34,1,21,2,0,9,57,0,8,50,0,7,45,0,4,40,0,6,40
gapenum1,54,5,1,36,7,91,4,0,9,59,0,5,58,0,6,47,0,7,45,0,9,41
gapenum2,54,5,1,36,1,21,2,0,9,59,0,5,58,0,6,47,0,7,45,0,9,41
gapenum1,55,5,1,30,7,91,5,0,7,56,0,5,52,0,6,47,0,7,46,0,5,41
gapenum2,55,5,1,30,1,21,2,0,7,56,0,5,52,0,6,47,0,7,46,0,5,41
gapenum1,56,5,1,37,6,75,4,0,5,58,0,7,46,0,8,42,0,8,42,0,9,41
gapenum2,56,5,1,37,1,17,2,0,5,58,0,7,46,0,8,42,0,8,42,0,9,41
gapenum1,57,5,1,32,6,80,4,0,4,54,0,6,52,0,8,48,0,7,46,0,7,41
gapenum2,57,5,1,32,1,17,2,0,4,54,0,6,52,0,8,48,0,7,46,0,7,41
gapenum1,58,5,1,28,5,50,4,0,6,52,0,6,52,0,4,50,0,6,49,0,6,48
gapenum2,58,5,1,28,1,12,2,0,6,52,0,6,52,0,4,50,0,6,49,0,6,48
gapenum1,59,5,1,35,6,80,4,0,9,59,0,5,55,0,8,52,0,8,48,0,5,47
gapenum2,59,5,1,35,1,17,2,0,9,59,0,5,55,0,8,52,0,8,48,0,5,47
gapenum1,60,5,1,29,5,59,4,0,8,48,0,4,47,0,5,47,0,6,45,0,6,44
gapenum2,60,5,1,29,1,13,2,0,8,48,0,4,47,0,5,47,0,6,45,0,6,44
gapenum1,61,5,1,43,6,80,4,0,9,59,0,9,56,0,9,52,0,9,46,0,7,44
gapenum2,61,5,1,43,1,17,2,0,9,59,0,9,56,0,9,52,0,9,46,0,7,44
gapenum1,62,5,1,25,6,80,4,0,6,51,0,5,50,0,6,49,0,4,48,0,4,42
gapenum2,62,5,1,25,2,26,3,0,6,51,0,5,50,0,6,49,0,4,48,0,4,42
gapenum1,63,5,1,32,6,69,4,0,4,56,0,7,56,0,7,47,0,8,45,0,6,44
gapenum2,63,5,1,32,1,16,2,0,4,56,0,7,56,0,7,47,0,8,45,0,6,44
gapenum1,64,5,1,29,8,99,5,0,8,57,0,6,50,0,4,47,0,6,46,0,5,40
gapenum2,64,5,1,29,2,34,3,0,8,57,0,6,50,0,4,47,0,6,46,0,5,40
gapenum1,65,5,1,26,7,78,5,0,4,57,0,8,57,0,6,55,0,4,43,0,4,40
gapenum2,65,5,1,26,2,23,3,0,4,57,0,8,57,0,6,55,0,4,43,0,4,40
gapenum1,66,5,1,33,6,80,4,0,6,58,0,6,54,0,8,49,0,9,49,0,4,46
gapenum2,66,5,1,33,1,17,2,0,6,58,0,6,54,0,8,49,0,9,49,0,4,46
gapenum1,67,5,1,38,6,80,4,0,7,49,0,8,48,0,9,45,0,8,44,0,6,41
gapenum2,67,5,1,38,1,17,2,0,7,49,0,8,48,0,9,45,0,8,44,0,6,41
gapenum1,68,5,1,31,7,91,5,0,6,58,0,6,57,0,5,49,0,6,42,0,8,40
gapenum2,68,5,1,31,1,21,2,0,6,58,0,6,57,0,5,49,0,6,42,0,8,40
gapenum1,69,5,1,40,6,80,4,0,9,56,0,5,53,0,9,49,0,9,43,0,8,42
gapenum2,69,5,1,40,1,17,2,0,9,56,0,5,53,0,9,49,0,9,43,0,8,42
gapenum1,70,5,1,30,7,86,4,0,9,58,0,4,54,0,6,52,0,4,41,0,7,40
gapenum2,70,5,1,30,2,26,3,0,9,58,0,4,54,0,6,52,0,4,41,0,7,40
gapenum1,71,5,1,35,7,91,5,0,5,57,0,8,54,0,9,52,0,5,43,0,8,41
gapenum2,71,5,1,35,1,21,2,0,5,57,0,8,54,0,9,52,0,5,43,0,8,41
gapenum1,72,5,1,32,7,78,5,0,6,58,0,8,58,0,6,54,0,4,52,0,8,40
gapenum2,72,5,1,32,2,29,3,0,6,58,0,8,58,0,6,54,0,4,52,0,8,40
gapenum1,73,5,1,35,6,69,4,0,5,51,0,9,51,0,7,50,0,7,48,0,7,42
gapenum2,73,5,1,35,1,16,2,0,5,51,0,9,51,0,7,50,0,7,48,0,7,42
gapenum1,74,5,1,35,6,80,4,0,4,58,0,9,53,0,6,49,0,7,48,0,9,48
gapenum2,74,5,1,35,1,17,15,0,4,58,0,9,53,0,6,49,0,7,48,0,9,48
gapenum1,75,5,1,35,5,59,4,0,7,53,0,4,50,0,7,47,0,8,46,0,9,46
gapenum2,75,5,1,35,1,13,2,0,7,53,0,4,50,0,7,47,0,8,46,0,9,46
gapenum1,76,5,1,32,7,91,4,0,8,58,0,7,49,0,7,47,0,6,44,0,4,43
gapenum2,76,5,1,32,1,21,2,0,8,58,0,7,49,0,7,47,0,6,44,0,4,43
gapenum1,77,5,1,33,6,80,4,0,6,56,0,9,52,0,4,49,0,6,48,0,8,44
gapenum2,77,5,1,33,1,17,2,0,6,56,0,9,52,0,4,49,0,6,48,0,8,44
gapenum1,78,5,1,37,6,80,4,0,8,55,0,7,52,0,7,48,0,9,47,0,6,45
gapenum2,78,5,1,37,1,17,2,0,8,55,0,7,52,0,7,48,0,9,47,0,6,45
gapenum1,79,5,1,31,6,80,4,0,8,59,0,5,56,0,6,54,0,4,51,0,8,49
gapenum2,79,5,1,31,1,17,2,0,8,59,0,5,56,0,6,54,0,4,51,0,8,49
gapenum1,80,5,1,31,8,99,5,0,9,58,0,9,57,0,4,50,0,5,45,0,4,44
gapenum2,80,5,1,31,1,25,2,0,9,58,0,9,57,0,4,50,0,5,45,0,4,44
gapenum1,81,5,1,35,7,91,4,0,7,59,0,8,54,0,7,52,0,8,46,0,5,45
gapenum2,81,5,1,35,1,21,2,0,7,59,0,8,54,0,7,52,0,8,46,0,5,45
gapenum1,82,5,1,34,6,80,4,0,6,56,0,9,55,0,8,54,0,6,53,0,5,50
gapenum2,82,5,1,34,1,17,2,0,6,56,0,9,55,0,8,54,0,6,53,0,5,50
gapenum1,83,5,1,29,8,99,5,0,7,58,0,7,57,0,4,49,0,5,42,0,6,41
gapenum2,83,5,1,29,2,26,3,0,7,58,0,7,57,0,4,49,0,5,42,0,6,41
gapenum1,84,5,1,36,6,80,4,0,9,53,0,5,51,0,8,51,0,6,47,0,8,44
gapenum2,84,5,1,36,1,17,2,0,9,53,0,5,51,0,8,51,0,6,47,0,8,44
gapenum1,85,5,1,34,5,59,4,0,6,51,0,8,50,0,6,49,0,8,47,0,6,46
gapenum2,85,5,1,34,1,13,2,0,6,51,0,8,50,0,6,49,0,8,47,0,6,46
gapenum1,86,5,1,34,6,80,4,0,4,53,0,6,49,0,6,48,0,9,41,0,9,41
gapenum2,86,5,1,34,1,17,2,0,4,53,0,6,49,0,6,48,0,9,41,0,9,41
gapenum1,87,5,1,38,7,91,5,0,6,56,0,9,53,0,9,49,0,6,48,0,8,41
gapenum2,87,5,1,38,1,21,2,0,6,56,0,9,53,0,9,49,0,6,48,0,8,41
gapenum1,88,5,1,33,7,91,4,0,9,56,0,7,55,0,5,48,0,7,48,0,5,42
gapenum2,88,5,1,33,2,32,3,0,9,56,0,7,55,0,5,48,0,7,48,0,5,42
gapenum1,89,5,1,38,5,56,3,0,7,50,0,8,49,0,9,45,0,5,42,0,9,41
gapenum2,89,5,1,38,1,13,2,0,7,50,0,8,49,0,9,45,0,5,42,0,9,41
gapenum1,90,5,1,35,6,80,4,0,9,58,0,5,56,0,9,55,0,4,50,0,8,47
gapenum2,90,5,1,35,1,17,2,0,9,58,0,5,56,0,9,55,0,4,50,0,8,47
gapenum1,91,5,1,39,6,60,4,0,6,56,0,7,56,0,9,56,0,8,54,0,9,41
gapenum2,91,5,1,39,2,20,2,0,6,56,0,7,56,0,9,56,0,8,54,0,9,41
gapenum1,92,5,1,29,6,80,4,0,7,58,0,6,57,0,5,51,0,6,51,0,5,49
gapenum2,92,5,1,29,1,17,2,0,7,58,0,6,57,0,5,51,0,6,51,0,5,49
gapenum1,93,5,1,33,7,91,4,0,6,57,0,9,54,0,9,51,0,5,50,0,4,47
gapenum2,93,5,1,33,1,21,2,0,6,57,0,9,54,0,9,51,0,5,50,0,4,47
gapenum1,94,5,1,40,6,80,4,0,9,57,0,8,55,0,7,52,0,8,44,0,8,44
gapenum2,94,5,1,40,1,17,2,0,9,57,0,8,55,0,7,52,0,8,44,0,8,44
gapenum1,95,5,1,27,7,91,4,0,5,58,0,7,56,0,6,54,0,4,48,0,5,46
gapenum2,95,5,1,27,1,21,2,0,5,58,0,7,56,0,6,54,0,4,48,0,5,46
gapenum1,96,5,1,34,6,80,4,0,6,55,0,6,51,0,6,50,0,8,47,0,8,45
gapenum2,96,5,1,34,1,17,2,0,6,55,0,6,51,0,6,50,0,8,47,0,8,45
gapenum1,97,5,1,26,7,91,4,0,7,59,0,4,57,0,6,56,0,4,53,0,5,46
gapenum2,97,5,1,26,2,32,3,0,7,59,0,4,57,0,6,56,0,4,53,0,5,46
gapenum1,98,5,1,34,6,80,4,0,5,53,0,7,49,0,7,48,0,6,44,0,9,41
gapenum2,98,5,1,34,1,17,2,0,5,53,0,7,49,0,7,48,0,6,44,0,9,41
gapenum1,99,5,1,31,6,75,4,0,4,58,0,6,52,0,7,46,0,9,45,0,5,44
gapenum2,99,5,1,31,1,17,2,0,4,58,0,6,52,0,7,46,0,9,45,0,5,44
gapenum1,100,5,1,31,5,50,3,0,6,49,0,8,49,0,8,48,0,4,46,0,5,46
gapenum2,100,5,1,31,1,12,2,0,6,49,0,8,49,0,8,48,0,4,46,0,5,46
gapenum1,101,5,1,29,7,91,4,0,4,53,0,6,44,0,7,43,0,4,41,0,8,40
gapenum2,101,5,1,29,1,21,2,0,4,53,0,6,44,0,7,43,0,4,41,0,8,40
gapenum1,102,5,1,29,7,91,4,0,4,59,0,5,55,0,6,55,0,9,49,0,5,44
gapenum2,102,5,1,29,1,21,2,0,4,59,0,5,55,0,6,55,0,9,49,0,5,44
gapenum1,103,5,1,31,7,91,4,0,5,57,0,4,54,0,9,48,0,5,45,0,8,40
gapenum2,103,5,1,31,1,21,2,0,5,57,0,4,54,0,9,48,0,5,45,0,8,40
gapenum1,104,5,1,38,7,91,4,0,9,59,0,7,54,0,5,52,0,8,46,0,9,40
gapenum2,104,5,1,38,1,21,2,0,9,59,0,7,54,0,5,52,0,8,46,0,9,40
gapenum1,105,5,1,28,6,80,4,0,9,59,0,4,58,0,5,58,0,5,56,0,5,47
gapenum2,105,5,1,28,2,26,2,0,9,59,0,4,58,0,5,58,0,5,56,0,5,47
gapenum1,106,5,1,28,8,99,5,0,9,58,0,4,48,0,5,48,0,5,43,0,5,42
gapenum2,106,5,1,28,1,25,2,0,9,58,0,4,48,0,5,48,0,5,43,0,5,42
gapenum1,107,5,1,29,7,91,4,0,5,57,0,4,51,0,7,44,0,4,40,0,9,40
gapenum2,107,5,1,29,1,21,2,0,5,57,0,4,51,0,7,44,0,4,40,0,9,40
gapenum1,108,5,1,40,6,80,4,0,9,54,0,9,52,0,7,45,0,6,42,0,9,42
gapenum2,108,5,1,40,1,17,2,0,9,54,0,9,52,0,7,45,0,6,42,0,9,42
gapenum1,109,5,1,30,6,80,4,0,7,56,0,5,54,0,4,52,0,5,52,0,9,40
gapenum2,109,5,1,30,2,26,2,0,7,56,0,5,54,0,4,52,0,5,52,0,9,40
gapenum1,110,5,1,32,5,56,3,0,6,56,0,4,52,0,8,49,0,6,48,0,8,48
gapenum2,110,5,1,32,1,13,2,0,6,56,0,4,52,0,8,49,0,6,48,0,8,48
gapenum1,111,5,1,33,6,60,4,0,5,53,0,8,53,0,9,53,0,6,46,0,5,43
gapenum2,111,5,1,33,1,15,2,0,5,53,0,8,53,0,9,53,0,6,46,0,5,43
gapenum1,112,5,1,33,6,69,4,0,9,49,0,9,49,0,6,42,0,4,41,0,5,41
gapenum2,112,5,1,33,1,16,2,0,9,49,0,9,49,0,6,42,0,4,41,0,5,41
gapenum1,113,5,1,32,7,91,4,0,5,58,0,8,57,0,8,50,0,6,47,0,5,44
gapenum2,113,5,1,32,1,21,2,0,5,58,0,8,57,0,8,50,0,6,47,0,5,44
gapenum1,114,5,1,33,7,91,4,0,7,58,0,7,52,0,8,52,0,5,47,0,6,40
gapenum2,114,5,1,33,2,32,3,0,7,58,0,7,52,0,8,52,0,5,47,0,6,40
gapenum1,115,5,1,27,7,91,4,0,4,58,0,7,48,0,5,46,0,5,46,0,6,45
gapenum2,115,5,1,27,1,21,2,0,4,58,0,7,48,0,5,46,0,5,46,0,6,45
gapenum1,116,5,1,36,7,91,4,0,9,58,0,7,57,0,6,53,0,5,46,0,9,40
gapenum2,116,5,1,36,1,21,2,0,9,58,0,7,57,0,6,53,0,5,46,0,9,40
gapenum1,117,5,1,30,6,80,4,0,6,56,0,8,52,0,4,51,0,8,50,0,4,48
gapenum2,117,5,1,30,1,17,2,0,6,56,0,8,52,0,4,51,0,8,50,0,4,48
gapenum1,118,5,1,27,6,80,4,0,6,53,0,5,52,0,4,47,0,5,47,0,7,45
gapenum2,118,5,1,27,1,17,2,0,6,53,0,5,52,0,4,47,0,5,47,0,7,45
gapenum1,119,5,1,30,7,91,4,0,7,58,0,6,56,0,8,54,0,5,47,0,4,42
gapenum2,119,5,1,30,3,37,3,0,7,58,0,6,56,0,8,54,0,5,47,0,4,42
gapenum1,120,5,1,36,6,75,4,0,6,55,0,8,46,0,7,45,0,8,41,0,7,40
gapenum2,120,5,1,36,1,17,2,0,6,55,0,8,46,0,7,45,0,8,41,0,7,40
gapenum1,121,5,1,36,7,91,4,0,9,58,0,7,55,0,8,53,0,4,40,0,8,40
gapenum2,121,5,1,36,2,26,2,0,9,58,0,7,55,0,8,53,0,4,40,0,8,40
gapenum1,122,5,1,27,6,80,4,0,5,58,0,6,54,0,4,50,0,7,49,0,5,48
gapenum2,122,5,1,27,1,17,2,0,5,58,0,6,54,0,4,50,0,7,49,0,5,48
gapenum1,123,5,1,36,6,80,4,0,8,52,0,7,51,0,7,51,0,6,48,0,8,42
gapenum2,123,5,1,36,1,17,2,0,8,52,0,7,51,0,7,51,0,6,48,0,8,42
gapenum1,124,5,1,36,6,80,4,0,7,59,0,9,58,0,9,53,0,4,50,0,7,49
gapenum2,124,5,1,36,1,17,2,0,7,59,0,9,58,0,9,53,0,4,50,0,7,49
gapenum1,125,5,1,32,7,91,4,0,9,57,0,5,53,0,7,51,0,5,50,0,6,43
gapenum2,125,5,1,32,2,32,2,0,9,57,0,5,53,0,7,51,0,5,50,0,6,43
gapenum1,126,5,1,37,6,80,4,0,6,57,0,8,56,0,7,53,0,8,53,0,8,46
gapenum2,126,5,1,37,1,17,2,0,6,57,0,8,56,0,7,53,0,8,53,0,8,46
gapenum1,127,5,1,36,6,80,4,0,9,57,0,7,56,0,5,52,0,9,45,0,6,43
gapenum2,127,5,1,36,1,17,2,0,9,57,0,7,56,0,5,52,0,9,45,0,6,43
gapenum1,128,5,1,33,6,80,11,0,9,56,0,6,53,0,8,52,0,5,50,0,5,50
gapenum2,128,5,1,33,1,17,2,0,9,56,0,6,53,0,8,52,0,5,50,0,5,50
gapenum1,129,5,1,33,6,80,4,0,8,59,0,4,55,0,6,55,0,8,49,0,7,47
gapenum2,129,5,1,33,1,17,2,0,8,59,0,4,55,0,6,55,0,8,49,0,7,47
gapenum1,130,5,1,29,6,75,4,0,5,59,0,4,58,0,7,57,0,4,53,0,9,46
gapenum2,130,5,1,29,1,17,2,0,5,59,0,4,58,0,7,57,0,4,53,0,9,46
gapenum1,131,5,1,37,6,80,4,0,6,54,0,9,51,0,7,49,0,9,48,0,6,44
gapenum2,131,5,1,37,1,17,2,0,6,54,0,9,51,0,7,49,0,9,48,0,6,44
gapenum1,132,5,1,31,7,91,4,0,5,58,0,7,56,0,7,53,0,7,45,0,5,41
gapenum2,132,5,1,31,1,21,2,0,5,58,0,7,56,0,7,53,0,7,45,0,5,41
gapenum1,133,5,1,33,7,91,4,0,8,55,0,6,50,0,6,48,0,7,44,0,6,40
gapenum2,133,5,1,33,1,21,2,0,8,55,0,6,50,0,6,48,0,7,44,0,6,40
gapenum1,134,5,1,28,8,99,5,0,5,58,0,6,55,0,5,50,0,5,42,0,7,40
gapenum2,134,5,1,28,1,25,2,0,5,58,0,6,55,0,5,50,0,5,42,0,7,40
gapenum1,135,5,1,31,7,91,4,0,7,56,0,9,54,0,5,52,0,6,49,0,4,44
gapenum2,135,5,1,31,2,32,2,0,7,56,0,9,54,0,5,52,0,6,49,0,4,44
gapenum1,136,5,1,39,7,91,4,0,8,59,0,9,57,0,8,56,0,5,43,0,9,40
gapenum2,136,5,1,39,2,26,2,0,8,59,0,9,57,0,8,56,0,5,43,0,9,40
gapenum1,137,5,1,31,6,80,4,0,4,53,0,6,49,0,8,44,0,9,43,0,4,42
gapenum2,137,5,1,31,1,17,2,0,4,53,0,6,49,0,8,44,0,9,43,0,4,42
gapenum1,138,5,1,29,7,91,4,0,5,59,0,4,55,0,4,49,0,8,48,0,8,42
gapenum2,138,5,1,29,1,21,2,0,5,59,0,4,55,0,4,49,0,8,48,0,8,42
gapenum1,139,5,1,21,8,99,5,0,4,59,0,4,56,0,4,47,0,5,45,0,4,41
