version,m,n,j,RT_j,gaps,steps,μs,r1,c1,j1,r2,c2,j2,r3,c3,j3
gap_enum1,6,3,3,6,1,1,2,0,5,54,0,8,49,0,6,48
gap_enum2,6,3,3,6,1,1,2,0,5,54,0,8,49,0,6,48
gap_enum1,6,3,2,14,2,10,2,0,5,54,0,8,49,0,6,48
gap_enum2,6,3,2,14,1,4,2,0,5,54,0,8,49,0,6,48
gap_enum1,6,3,1,19,3,19,3,0,5,54,0,8,49,0,6,48
gap_enum2,6,3,1,19,1,7,2,0,5,54,0,8,49,0,6,48
gap_enum1,7,3,3,8,1,1,2,0,6,57,0,4,51,0,8,51
gap_enum2,7,3,3,8,1,1,2,0,6,57,0,4,51,0,8,51
gap_enum1,7,3,2,12,2,4,2,0,6,57,0,4,51,0,8,51
gap_enum2,7,3,2,12,1,3,2,0,6,57,0,4,51,0,8,51
gap_enum1,7,3,1,18,3,22,3,0,6,57,0,4,51,0,8,51
gap_enum2,7,3,1,18,1,7,2,0,6,57,0,4,51,0,8,51
gap_enum1,8,3,3,5,1,1,2,0,5,49,0,7,48,0,5,41
gap_enum2,8,3,3,5,1,1,2,0,5,49,0,7,48,0,5,41
gap_enum1,8,3,2,12,3,10,3,0,5,49,0,7,48,0,5,41
gap_enum2,8,3,2,12,2,5,2,0,5,49,0,7,48,0,5,41
gap_enum1,8,3,1,17,4,33,3,0,5,49,0,7,48,0,5,41
gap_enum2,8,3,1,17,2,12,3,0,5,49,0,7,48,0,5,41
gap_enum1,9,3,3,7,1,1,2,0,8,42,0,8,41,0,7,40
gap_enum2,9,3,3,7,1,1,2,0,8,42,0,8,41,0,7,40
gap_enum1,9,3,2,15,2,10,2,0,8,42,0,8,41,0,7,40
gap_enum2,9,3,2,15,1,4,2,0,8,42,0,8,41,0,7,40
gap_enum1,9,3,1,23,3,22,3,0,8,42,0,8,41,0,7,40
gap_enum2,9,3,1,23,1,7,2,0,8,42,0,8,41,0,7,40
gap_enum1,10,3,3,7,1,1,2,0,5,51,0,6,44,0,7,41
gap_enum2,10,3,3,7,1,1,2,0,5,51,0,6,44,0,7,41
gap_enum1,10,3,2,13,2,10,2,0,5,51,0,6,44,0,7,41
gap_enum2,10,3,2,13,1,4,2,0,5,51,0,6,44,0,7,41
gap_enum1,10,3,1,18,4,33,3,0,5,51,0,6,44,0,7,41
gap_enum2,10,3,1,18,1,11,2,0,5,51,0,6,44,0,7,41
gap_enum1,11,3,3,8,1,1,2,0,9,58,0,4,46,0,8,40
gap_enum2,11,3,3,8,1,1,2,0,9,58,0,4,46,0,8,40
gap_enum1,11,3,2,12,2,10,2,0,9,58,0,4,46,0,8,40
gap_enum2,11,3,2,12,1,4,2,0,9,58,0,4,46,0,8,40
gap_enum1,11,3,1,21,5,33,4,0,9,58,0,4,46,0,8,40
gap_enum2,11,3,1,21,2,12,3,0,9,58,0,4,46,0,8,40
gap_enum1,12,3,3,7,1,1,2,0,7,55,0,8,44,0,7,43
gap_enum2,12,3,3,7,1,1,2,0,7,55,0,8,44,0,7,43
gap_enum1,12,3,2,15,2,10,2,0,7,55,0,8,44,0,7,43
gap_enum2,12,3,2,15,1,4,2,0,7,55,0,8,44,0,7,43
gap_enum1,12,3,1,22,4,33,3,0,7,55,0,8,44,0,7,43
gap_enum2,12,3,1,22,1,11,2,0,7,55,0,8,44,0,7,43
gap_enum1,13,3,3,6,1,1,2,0,7,53,0,4,50,0,6,50
gap_enum2,13,3,3,6,1,1,2,0,7,53,0,4,50,0,6,50
gap_enum1,13,3,2,10,2,4,2,0,7,53,0,4,50,0,6,50
gap_enum2,13,3,2,10,1,3,2,0,7,53,0,4,50,0,6,50
gap_enum1,13,3,1,17,3,22,3,0,7,53,0,4,50,0,6,50
gap_enum2,13,3,1,17,1,7,2,0,7,53,0,4,50,0,6,50
gap_enum1,14,3,3,7,1,1,2,0,7,58,0,7,52,0,7,45
gap_enum2,14,3,3,7,1,1,2,0,7,58,0,7,52,0,7,45
gap_enum1,14,3,2,14,2,7,2,0,7,58,0,7,52,0,7,45
gap_enum2,14,3,2,14,1,4,2,0,7,58,0,7,52,0,7,45
gap_enum1,14,3,1,21,4,33,3,0,7,58,0,7,52,0,7,45
gap_enum2,14,3,1,21,1,11,2,0,7,58,0,7,52,0,7,45
gap_enum1,15,3,3,9,1,1,2,0,7,59,0,4,46,0,9,44
gap_enum2,15,3,3,9,1,1,2,0,7,59,0,4,46,0,9,44
gap_enum1,15,3,2,13,2,10,2,0,7,59,0,4,46,0,9,44
gap_enum2,15,3,2,13,1,4,2,0,7,59,0,4,46,0,9,44
gap_enum1,15,3,1,20,5,33,4,0,7,59,0,4,46,0,9,44
gap_enum2,15,3,1,20,2,12,3,0,7,59,0,4,46,0,9,44
gap_enum1,16,3,3,8,1,1,2,0,9,59,0,9,57,0,8,48
gap_enum2,16,3,3,8,1,1,2,0,9,59,0,9,57,0,8,48
gap_enum1,16,3,2,17,3,10,3,0,9,59,0,9,57,0,8,48
gap_enum2,16,3,2,17,2,5,2,0,9,59,0,9,57,0,8,48
gap_enum1,16,3,1,26,4,33,3,0,9,59,0,9,57,0,8,48
gap_enum2,16,3,1,26,2,12,2,0,9,59,0,9,57,0,8,48
gap_enum1,17,3,3,6,1,1,2,0,6,55,0,8,47,0,6,42
gap_enum2,17,3,3,6,1,1,2,0,6,55,0,8,47,0,6,42
gap_enum1,17,3,2,14,2,10,2,0,6,55,0,8,47,0,6,42
gap_enum2,17,3,2,14,1,4,2,0,6,55,0,8,47,0,6,42
gap_enum1,17,3,1,20,4,33,3,0,6,55,0,8,47,0,6,42
gap_enum2,17,3,1,20,1,11,2,0,6,55,0,8,47,0,6,42
gap_enum1,18,3,3,7,1,1,2,0,6,52,0,6,51,0,7,49
gap_enum2,18,3,3,7,1,1,2,0,6,52,0,6,51,0,7,49
gap_enum1,18,3,2,13,2,10,2,0,6,52,0,6,51,0,7,49
gap_enum2,18,3,2,13,1,4,2,0,6,52,0,6,51,0,7,49
gap_enum1,18,3,1,19,3,22,3,0,6,52,0,6,51,0,7,49
gap_enum2,18,3,1,19,1,7,2,0,6,52,0,6,51,0,7,49
gap_enum1,19,3,3,7,1,1,2,0,6,57,0,8,54,0,7,49
gap_enum2,19,3,3,7,1,1,2,0,6,57,0,8,54,0,7,49
gap_enum1,19,3,2,15,2,10,2,0,6,57,0,8,54,0,7,49
gap_enum2,19,3,2,15,1,4,2,0,6,57,0,8,54,0,7,49
gap_enum1,19,3,1,21,4,33,3,0,6,57,0,8,54,0,7,49
gap_enum2,19,3,1,21,1,11,2,0,6,57,0,8,54,0,7,49
gap_enum1,20,3,3,7,1,1,2,0,9,51,0,6,47,0,7,43
gap_enum2,20,3,3,7,1,1,2,0,9,51,0,6,47,0,7,43
gap_enum1,20,3,2,13,2,10,2,0,9,51,0,6,47,0,7,43
gap_enum2,20,3,2,13,1,4,2,0,9,51,0,6,47,0,7,43
gap_enum1,20,3,1,22,4,33,3,0,9,51,0,6,47,0,7,43
gap_enum2,20,3,1,22,1,11,2,0,9,51,0,6,47,0,7,43
gap_enum1,21,3,3,8,1,1,2,0,8,49,0,8,47,0,8,42
gap_enum2,21,3,3,8,1,1,2,0,8,49,0,8,47,0,8,42
gap_enum1,21,3,2,16,2,10,2,0,8,49,0,8,47,0,8,42
gap_enum2,21,3,2,16,1,4,2,0,8,49,0,8,47,0,8,42
gap_enum1,21,3,1,24,3,22,3,0,8,49,0,8,47,0,8,42
gap_enum2,21,3,1,24,1,7,2,0,8,49,0,8,47,0,8,42
gap_enum1,22,3,3,7,1,1,2,0,7,49,0,6,48,0,7,47
gap_enum2,22,3,3,7,1,1,2,0,7,49,0,6,48,0,7,47
gap_enum1,22,3,2,13,2,10,2,0,7,49,0,6,48,0,7,47
gap_enum2,22,3,2,13,1,4,2,0,7,49,0,6,48,0,7,47
gap_enum1,22,3,1,20,3,22,3,0,7,49,0,6,48,0,7,47
gap_enum2,22,3,1,20,1,7,2,0,7,49,0,6,48,0,7,47
gap_enum1,23,3,3,8,1,1,2,0,4,53,0,9,51,0,8,44
gap_enum2,23,3,3,8,1,1,2,0,4,53,0,9,51,0,8,44
gap_enum1,23,3,2,17,2,10,2,0,4,53,0,9,51,0,8,44
gap_enum2,23,3,2,17,1,4,2,0,4,53,0,9,51,0,8,44
gap_enum1,23,3,1,21,4,33,3,0,4,53,0,9,51,0,8,44
gap_enum2,23,3,1,21,1,11,2,0,4,53,0,9,51,0,8,44
gap_enum1,24,3,3,8,1,1,2,0,9,57,0,5,46,0,8,46
gap_enum2,24,3,3,8,1,1,2,0,9,57,0,5,46,0,8,46
gap_enum1,24,3,2,13,2,4,2,0,9,57,0,5,46,0,8,46
gap_enum2,24,3,2,13,1,3,2,0,9,57,0,5,46,0,8,46
gap_enum1,24,3,1,22,4,33,3,0,9,57,0,5,46,0,8,46
gap_enum2,24,3,1,22,1,11,2,0,9,57,0,5,46,0,8,46
gap_enum1,25,3,3,8,1,1,2,0,4,54,0,6,52,0,8,51
gap_enum2,25,3,3,8,1,1,2,0,4,54,0,6,52,0,8,51
gap_enum1,25,3,2,14,2,10,2,0,4,54,0,6,52,0,8,51
gap_enum2,25,3,2,14,1,4,2,0,4,54,0,6,52,0,8,51
gap_enum1,25,3,1,18,3,22,3,0,4,54,0,6,52,0,8,51
gap_enum2,25,3,1,18,1,7,2,0,4,54,0,6,52,0,8,51
gap_enum1,26,3,3,6,1,1,2,0,4,57,0,6,47,0,6,46
gap_enum2,26,3,3,6,1,1,2,0,4,57,0,6,47,0,6,46
gap_enum1,26,3,2,12,2,10,2,0,4,57,0,6,47,0,6,46
gap_enum2,26,3,2,12,1,4,2,0,4,57,0,6,47,0,6,46
gap_enum1,26,3,1,16,4,33,3,0,4,57,0,6,47,0,6,46
gap_enum2,26,3,1,16,1,11,2,0,4,57,0,6,47,0,6,46
gap_enum1,27,3,3,8,1,1,2,0,5,45,0,6,45,0,8,43
gap_enum2,27,3,3,8,1,1,2,0,5,45,0,6,45,0,8,43
gap_enum1,27,3,2,14,2,10,2,0,5,45,0,6,45,0,8,43
gap_enum2,27,3,2,14,1,4,2,0,5,45,0,6,45,0,8,43
gap_enum1,27,3,1,19,3,17,3,0,5,45,0,6,45,0,8,43
gap_enum2,27,3,1,19,1,6,2,0,5,45,0,6,45,0,8,43
gap_enum1,28,3,3,7,1,1,2,0,4,54,0,7,43,0,7,40
gap_enum2,28,3,3,7,1,1,2,0,4,54,0,7,43,0,7,40
gap_enum1,28,3,2,14,2,10,2,0,4,54,0,7,43,0,7,40
gap_enum2,28,3,2,14,1,4,2,0,4,54,0,7,43,0,7,40
gap_enum1,28,3,1,18,4,28,3,0,4,54,0,7,43,0,7,40
gap_enum2,28,3,1,18,1,11,2,0,4,54,0,7,43,0,7,40
gap_enum1,29,3,3,9,1,1,2,0,5,58,0,6,54,0,9,41
gap_enum2,29,3,3,9,1,1,2,0,5,58,0,6,54,0,9,41
gap_enum1,29,3,2,15,3,10,3,0,5,58,0,6,54,0,9,41
gap_enum2,29,3,2,15,2,5,2,0,5,58,0,6,54,0,9,41
gap_enum1,29,3,1,20,4,33,3,0,5,58,0,6,54,0,9,41
gap_enum2,29,3,1,20,2,12,3,0,5,58,0,6,54,0,9,41
gap_enum1,30,3,3,6,1,1,2,0,5,59,0,4,56,0,6,51
gap_enum2,30,3,3,6,1,1,2,0,5,59,0,4,56,0,6,51
gap_enum1,30,3,2,10,2,10,2,0,5,59,0,4,56,0,6,51
gap_enum2,30,3,2,10,1,4,2,0,5,59,0,4,56,0,6,51
gap_enum1,30,3,1,15,4,33,3,0,5,59,0,4,56,0,6,51
gap_enum2,30,3,1,15,1,11,2,0,5,59,0,4,56,0,6,51
gap_enum1,31,3,3,8,1,1,2,0,8,50,0,7,49,0,8,47
gap_enum2,31,3,3,8,1,1,2,0,8,50,0,7,49,0,8,47
gap_enum1,31,3,2,15,2,10,2,0,8,50,0,7,49,0,8,47
gap_enum2,31,3,2,15,1,4,2,0,8,50,0,7,49,0,8,47
gap_enum1,31,3,1,23,3,22,3,0,8,50,0,7,49,0,8,47
gap_enum2,31,3,1,23,1,7,2,0,8,50,0,7,49,0,8,47
gap_enum1,32,3,3,6,1,1,2,0,8,52,0,9,47,0,6,42
gap_enum2,32,3,3,6,1,1,2,0,8,52,0,9,47,0,6,42
gap_enum1,32,3,2,15,2,10,2,0,8,52,0,9,47,0,6,42
gap_enum2,32,3,2,15,1,4,2,0,8,52,0,9,47,0,6,42
gap_enum1,32,3,1,23,4,33,3,0,8,52,0,9,47,0,6,42
gap_enum2,32,3,1,23,1,11,2,0,8,52,0,9,47,0,6,42
gap_enum1,33,3,3,6,1,1,2,0,4,56,0,4,47,0,6,43
gap_enum2,33,3,3,6,1,1,2,0,4,56,0,4,47,0,6,43
gap_enum1,33,3,2,10,2,10,2,0,4,56,0,4,47,0,6,43
gap_enum2,33,3,2,10,1,4,2,0,4,56,0,4,47,0,6,43
gap_enum1,33,3,1,14,5,33,4,0,4,56,0,4,47,0,6,43
gap_enum2,33,3,1,14,2,12,3,0,4,56,0,4,47,0,6,43
gap_enum1,34,3,3,4,1,1,2,0,6,53,0,9,53,0,4,48
gap_enum2,34,3,3,4,1,1,2,0,6,53,0,9,53,0,4,48
gap_enum1,34,3,2,13,3,10,3,0,6,53,0,9,53,0,4,48
gap_enum2,34,3,2,13,2,5,2,0,6,53,0,9,53,0,4,48
gap_enum1,34,3,1,19,4,21,3,0,6,53,0,9,53,0,4,48
gap_enum2,34,3,1,19,2,9,3,0,6,53,0,9,53,0,4,48
gap_enum1,35,3,3,6,1,1,2,0,8,53,0,6,47,0,6,41
gap_enum2,35,3,3,6,1,1,2,0,8,53,0,6,47,0,6,41
gap_enum1,35,3,2,12,2,7,5,0,8,53,0,6,47,0,6,41
gap_enum2,35,3,2,12,1,4,2,0,8,53,0,6,47,0,6,41
gap_enum1,35,3,1,20,4,28,3,0,8,53,0,6,47,0,6,41
gap_enum2,35,3,1,20,1,11,2,0,8,53,0,6,47,0,6,41
gap_enum1,36,3,3,8,1,1,2,0,8,48,0,4,47,0,8,41
gap_enum2,36,3,3,8,1,1,2,0,8,48,0,4,47,0,8,41
gap_enum1,36,3,2,12,2,10,2,0,8,48,0,4,47,0,8,41
gap_enum2,36,3,2,12,1,4,2,0,8,48,0,4,47,0,8,41
gap_enum1,36,3,1,20,3,22,3,0,8,48,0,4,47,0,8,41
gap_enum2,36,3,1,20,1,7,2,0,8,48,0,4,47,0,8,41
gap_enum1,37,3,3,9,1,1,2,0,7,57,0,7,54,0,9,54
gap_enum2,37,3,3,9,1,1,2,0,7,57,0,7,54,0,9,54
gap_enum1,37,3,2,16,2,4,2,0,7,57,0,7,54,0,9,54
gap_enum2,37,3,2,16,1,3,2,0,7,57,0,7,54,0,9,54
gap_enum1,37,3,1,23,3,22,3,0,7,57,0,7,54,0,9,54
gap_enum2,37,3,1,23,1,7,2,0,7,57,0,7,54,0,9,54
gap_enum1,38,3,3,7,1,1,2,0,9,50,0,4,43,0,7,43
gap_enum2,38,3,3,7,1,1,2,0,9,50,0,4,43,0,7,43
gap_enum1,38,3,2,11,2,4,2,0,9,50,0,4,43,0,7,43
gap_enum2,38,3,2,11,1,3,2,0,9,50,0,4,43,0,7,43
gap_enum1,38,3,1,20,3,19,3,0,9,50,0,4,43,0,7,43
gap_enum2,38,3,1,20,1,7,2,0,9,50,0,4,43,0,7,43
gap_enum1,39,3,3,6,1,1,2,0,5,53,0,7,47,0,6,46
gap_enum2,39,3,3,6,1,1,2,0,5,53,0,7,47,0,6,46
gap_enum1,39,3,2,13,2,10,2,0,5,53,0,7,47,0,6,46
gap_enum2,39,3,2,13,1,4,2,0,5,53,0,7,47,0,6,46
gap_enum1,39,3,1,18,4,33,3,0,5,53,0,7,47,0,6,46
gap_enum2,39,3,1,18,1,11,2,0,5,53,0,7,47,0,6,46
gap_enum1,40,3,3,7,1,1,2,0,4,58,0,5,45,0,7,45
gap_enum2,40,3,3,7,1,1,2,0,4,58,0,5,45,0,7,45
gap_enum1,40,3,2,12,2,4,2,0,4,58,0,5,45,0,7,45
gap_enum2,40,3,2,12,1,3,2,0,4,58,0,5,45,0,7,45
gap_enum1,40,3,1,16,5,33,4,0,4,58,0,5,45,0,7,45
gap_enum2,40,3,1,16,2,12,3,0,4,58,0,5,45,0,7,45
gap_enum1,41,3,3,8,1,1,2,0,9,44,0,5,43,0,8,43
gap_enum2,41,3,3,8,1,1,2,0,9,44,0,5,43,0,8,43
gap_enum1,41,3,2,13,2,4,2,0,9,44,0,5,43,0,8,43
gap_enum2,41,3,2,13,1,3,2,0,9,44,0,5,43,0,8,43
gap_enum1,41,3,1,22,3,22,3,0,9,44,0,5,43,0,8,43
gap_enum2,41,3,1,22,1,7,2,0,9,44,0,5,43,0,8,43
gap_enum1,42,3,3,6,1,1,2,0,8,56,0,8,48,0,6,42
gap_enum2,42,3,3,6,1,1,2,0,8,56,0,8,48,0,6,42
gap_enum1,42,3,2,14,2,7,2,0,8,56,0,8,48,0,6,42
gap_enum2,42,3,2,14,1,4,2,0,8,56,0,8,48,0,6,42
gap_enum1,42,3,1,22,4,28,3,0,8,56,0,8,48,0,6,42
gap_enum2,42,3,1,22,1,11,2,0,8,56,0,8,48,0,6,42
gap_enum1,43,3,3,5,1,1,2,0,9,53,0,8,48,0,5,46
gap_enum2,43,3,3,5,1,1,2,0,9,53,0,8,48,0,5,46
gap_enum1,43,3,2,13,2,10,2,0,9,53,0,8,48,0,5,46
gap_enum2,43,3,2,13,1,4,2,0,9,53,0,8,48,0,5,46
gap_enum1,43,3,1,22,4,33,3,0,9,53,0,8,48,0,5,46
gap_enum2,43,3,1,22,1,11,2,0,9,53,0,8,48,0,5,46
gap_enum1,44,3,3,4,1,1,2,0,5,49,0,6,47,0,4,41
gap_enum2,44,3,3,4,1,1,2,0,5,49,0,6,47,0,4,41
gap_enum1,44,3,2,10,3,10,3,0,5,49,0,6,47,0,4,41
gap_enum2,44,3,2,10,2,5,2,0,5,49,0,6,47,0,4,41
gap_enum1,44,3,1,15,4,33,3,0,5,49,0,6,47,0,4,41
gap_enum2,44,3,1,15,2,12,3,0,5,49,0,6,47,0,4,41
gap_enum1,45,3,3,8,1,1,2,0,7,59,0,8,51,0,8,42
gap_enum2,45,3,3,8,1,1,2,0,7,59,0,8,51,0,8,42
gap_enum1,45,3,2,16,3,10,3,0,7,59,0,8,51,0,8,42
gap_enum2,45,3,2,16,2,5,2,0,7,59,0,8,51,0,8,42
gap_enum1,45,3,1,23,4,28,3,0,7,59,0,8,51,0,8,42
gap_enum2,45,3,1,23,2,12,3,0,7,59,0,8,51,0,8,42
gap_enum1,46,3,3,7,1,1,2,0,8,58,0,7,55,0,7,44
gap_enum2,46,3,3,7,1,1,2,0,8,58,0,7,55,0,7,44
gap_enum1,46,3,2,14,3,10,3,0,8,58,0,7,55,0,7,44
gap_enum2,46,3,2,14,2,5,2,0,8,58,0,7,55,0,7,44
gap_enum1,46,3,1,22,4,33,3,0,8,58,0,7,55,0,7,44
gap_enum2,46,3,1,22,2,12,3,0,8,58,0,7,55,0,7,44
gap_enum1,47,3,3,4,1,1,2,0,6,45,0,6,44,0,4,41
gap_enum2,47,3,3,4,1,1,2,0,6,45,0,6,44,0,4,41
gap_enum1,47,3,2,10,2,10,2,0,6,45,0,6,44,0,4,41
gap_enum2,47,3,2,10,1,4,2,0,6,45,0,6,44,0,4,41
gap_enum1,47,3,1,16,3,19,3,0,6,45,0,6,44,0,4,41
gap_enum2,47,3,1,16,1,7,2,0,6,45,0,6,44,0,4,41
gap_enum1,48,3,3,7,1,1,2,0,5,57,0,7,45,0,7,44
gap_enum2,48,3,3,7,1,1,2,0,5,57,0,7,45,0,7,44
gap_enum1,48,3,2,14,2,10,2,0,5,57,0,7,45,0,7,44
gap_enum2,48,3,2,14,1,4,2,0,5,57,0,7,45,0,7,44
gap_enum1,48,3,1,19,4,33,3,0,5,57,0,7,45,0,7,44
gap_enum2,48,3,1,19,1,11,2,0,5,57,0,7,45,0,7,44
gap_enum1,49,3,3,4,1,1,2,0,5,58,0,6,43,0,4,42
gap_enum2,49,3,3,4,1,1,2,0,5,58,0,6,43,0,4,42
gap_enum1,49,3,2,10,2,10,2,0,5,58,0,6,43,0,4,42
gap_enum2,49,3,2,10,1,4,2,0,5,58,0,6,43,0,4,42
gap_enum1,49,3,1,15,5,33,4,0,5,58,0,6,43,0,4,42
gap_enum2,49,3,1,15,2,12,3,0,5,58,0,6,43,0,4,42
gap_enum1,50,3,3,6,1,1,2,0,4,58,0,6,42,0,6,40
gap_enum2,50,3,3,6,1,1,2,0,4,58,0,6,42,0,6,40
gap_enum1,50,3,2,12,2,10,2,0,4,58,0,6,42,0,6,40
gap_enum2,50,3,2,12,1,4,2,0,4,58,0,6,42,0,6,40
gap_enum1,50,3,1,16,5,33,4,0,4,58,0,6,42,0,6,40
gap_enum2,50,3,1,16,2,12,3,0,4,58,0,6,42,0,6,40
gap_enum1,51,3,3,5,1,1,2,0,6,49,0,9,43,0,5,42
gap_enum2,51,3,3,5,1,1,2,0,6,49,0,9,43,0,5,42
gap_enum1,51,3,2,14,2,10,2,0,6,49,0,9,43,0,5,42
gap_enum2,51,3,2,14,1,4,2,0,6,49,0,9,43,0,5,42
gap_enum1,51,3,1,20,4,33,3,0,6,49,0,9,43,0,5,42
gap_enum2,51,3,1,20,1,11,2,0,6,49,0,9,43,0,5,42
gap_enum1,52,3,3,6,1,1,2,0,4,54,0,6,51,0,6,50
gap_enum2,52,3,3,6,1,1,2,0,4,54,0,6,51,0,6,50
gap_enum1,52,3,2,12,2,10,2,0,4,54,0,6,51,0,6,50
gap_enum2,52,3,2,12,1,4,2,0,4,54,0,6,51,0,6,50
gap_enum1,52,3,1,16,3,22,3,0,4,54,0,6,51,0,6,50
gap_enum2,52,3,1,16,1,7,2,0,4,54,0,6,51,0,6,50
gap_enum1,53,3,3,5,1,1,2,0,6,59,0,6,57,0,5,41
gap_enum2,53,3,3,5,1,1,2,0,6,59,0,6,57,0,5,41
gap_enum1,53,3,2,11,3,10,3,0,6,59,0,6,57,0,5,41
gap_enum2,53,3,2,11,2,5,2,0,6,59,0,6,57,0,5,41
gap_enum1,53,3,1,17,4,33,3,0,6,59,0,6,57,0,5,41
gap_enum2,53,3,1,17,2,12,3,0,6,59,0,6,57,0,5,41
gap_enum1,54,3,3,4,1,1,2,0,8,51,0,8,50,0,4,44
gap_enum2,54,3,3,4,1,1,2,0,8,51,0,8,50,0,4,44
gap_enum1,54,3,2,12,3,10,3,0,8,51,0,8,50,0,4,44
gap_enum2,54,3,2,12,2,5,2,0,8,51,0,8,50,0,4,44
gap_enum1,54,3,1,20,4,33,3,0,8,51,0,8,50,0,4,44
gap_enum2,54,3,1,20,2,12,3,0,8,51,0,8,50,0,4,44
gap_enum1,55,3,3,5,1,1,2,0,9,58,0,8,53,0,5,42
gap_enum2,55,3,3,5,1,1,2,0,9,58,0,8,53,0,5,42
gap_enum1,55,3,2,13,3,10,3,0,9,58,0,8,53,0,5,42
gap_enum2,55,3,2,13,2,5,2,0,9,58,0,8,53,0,5,42
gap_enum1,55,3,1,22,4,33,3,0,9,58,0,8,53,0,5,42
gap_enum2,55,3,1,22,2,12,2,0,9,58,0,8,53,0,5,42
gap_enum1,56,3,3,8,1,1,2,0,5,55,0,7,53,0,8,41
gap_enum2,56,3,3,8,1,1,2,0,5,55,0,7,53,0,8,41
gap_enum1,56,3,2,15,3,10,3,0,5,55,0,7,53,0,8,41
gap_enum2,56,3,2,15,2,5,2,0,5,55,0,7,53,0,8,41
gap_enum1,56,3,1,20,4,33,3,0,5,55,0,7,53,0,8,41
gap_enum2,56,3,1,20,2,12,2,0,5,55,0,7,53,0,8,41
gap_enum1,57,3,3,9,1,1,2,0,5,48,0,4,46,0,9,40
gap_enum2,57,3,3,9,1,1,2,0,5,48,0,4,46,0,9,40
gap_enum1,57,3,2,13,2,10,2,0,5,48,0,4,46,0,9,40
gap_enum2,57,3,2,13,1,4,2,0,5,48,0,4,46,0,9,40
gap_enum1,57,3,1,18,3,22,3,0,5,48,0,4,46,0,9,40
gap_enum2,57,3,1,18,1,7,2,0,5,48,0,4,46,0,9,40
gap_enum1,58,3,3,5,1,1,2,0,5,57,0,8,55,0,5,51
gap_enum2,58,3,3,5,1,1,2,0,5,57,0,8,55,0,5,51
gap_enum1,58,3,2,13,2,10,2,0,5,57,0,8,55,0,5,51
gap_enum2,58,3,2,13,1,4,2,0,5,57,0,8,55,0,5,51
gap_enum1,58,3,1,18,4,33,3,0,5,57,0,8,55,0,5,51
gap_enum2,58,3,1,18,1,11,2,0,5,57,0,8,55,0,5,51
gap_enum1,59,3,3,5,1,1,2,0,8,58,0,4,54,0,5,54
gap_enum2,59,3,3,5,1,1,2,0,8,58,0,4,54,0,5,54
gap_enum1,59,3,2,9,2,4,2,0,8,58,0,4,54,0,5,54
gap_enum2,59,3,2,9,1,3,2,0,8,58,0,4,54,0,5,54
gap_enum1,59,3,1,17,3,22,3,0,8,58,0,4,54,0,5,54
gap_enum2,59,3,1,17,1,7,2,0,8,58,0,4,54,0,5,54
gap_enum1,60,3,3,6,1,1,2,0,5,56,0,5,52,0,6,43
gap_enum2,60,3,3,6,1,1,2,0,5,56,0,5,52,0,6,43
